obs_ID,study_ID,year,es,var,meta_ID,l_95,h_95,research_aim,memo
obs_001,Baker_2013,2013,0.496,0.153136454,ma06_01,-0.271,1.263,human,fear memories
obs_002,Baker_2013,2013,0.287,0.151344817,ma06_01,-0.475,1.05,human,fear memories
obs_003,Baker_2013,2013,0.108,0.115461266,ma06_01,-0.558,0.774,human,fear memories
obs_004,Baker_2013,2013,0.726,0.225625,ma06_01,-0.205,1.657,human,fear memories
obs_005,Chan_2010,2010,-1.41,0.272952936,ma06_01,-2.434,-0.386,human,fear memories
obs_006,Chan_2010,2010,0.069,0.314686654,ma06_01,-1.03,1.169,human,fear memories
obs_007,Chan_2010,2010,-2.321,0.231724347,ma06_01,-3.265,-1.378,human,fear memories
obs_008,Chan_2010,2010,-0.349,0.217222577,ma06_01,-1.262,0.565,human,fear memories
obs_009,Chan_2010,2010,-0.455,0.231970012,ma06_01,-1.399,0.489,human,fear memories
obs_010,Chan_2010,2010,-1.542,0.215087724,ma06_01,-2.451,-0.633,human,fear memories
obs_011,Chan_2014,2014,-1.162,0.279927374,ma06_01,-2.199,-0.125,human,fear memories
obs_012,Chan_2014,2014,0.244,0.228542534,ma06_01,-0.693,1.181,human,fear memories
obs_013,Chan_2014,2014,0.082,0.367075242,ma06_01,-1.105,1.27,human,fear memories
obs_014,Chan_2014,2014,0.185,0.23940051,ma06_01,-0.774,1.144,human,fear memories
obs_015,Chan_2014,2014,-0.847,0.23000833,ma06_01,-1.787,0.093,human,fear memories
obs_016,Clem_2010,2010,3.383,0.357860332,ma06_01,2.211,4.556,human,fear memories
obs_017,Clem_2010,2010,1.529,0.330918432,ma06_01,0.401,2.656,human,fear memories
obs_018,Clem_2010,2010,1.119,0.277234486,ma06_01,0.087,2.151,human,fear memories
obs_019,Clem_2010,2010,1.529,0.330918432,ma06_01,0.401,2.656,human,fear memories
obs_020,Flavell_2011,2011,-0.908,0.245935027,ma06_01,-1.88,0.064,human,fear memories
obs_021,Flavell_2011,2011,1.355,0.185646671,ma06_01,0.51,2.199,human,fear memories
obs_022,Ishii_2012,2012,-0.126,0.21272803,ma06_01,-1.03,0.778,human,fear memories
obs_023,Ishii_2012,2012,-0.389,0.205264473,ma06_01,-1.277,0.499,human,fear memories
obs_024,Ishii_2012,2012,-0.215,0.209212893,ma06_01,-1.111,0.682,human,fear memories
obs_025,Ishii_2012,2012,-0.009,0.130114796,ma06_01,-0.716,0.698,human,fear memories
obs_026,Ishii_2012,2012,-0.388,0.186747449,ma06_01,-1.235,0.459,human,fear memories
obs_027,Jones_2013,2013,1.598,0.252044981,ma06_01,0.614,2.582,human,fear memories
obs_028,Monfils_2009,2009,1.895,0.24923528,ma06_01,0.917,2.874,human,fear memories
obs_029,Monfils_2009,2009,1.062,0.219129074,ma06_01,0.145,1.98,human,fear memories
obs_030,Monfils_2009,2009,1.738,0.263441274,ma06_01,0.732,2.744,human,fear memories
obs_031,Monfils_2009,2009,1.104,0.261089715,ma06_01,0.103,2.106,human,fear memories
obs_032,Monfils_2009,2009,1.185,0.251277137,ma06_01,0.203,2.168,human,fear memories
obs_033,Olshavsky_2013,2013,0.765,0.057257653,ma06_01,0.296,1.234,human,fear memories
obs_034,RaoRuiz,NA,1.883,0.12755102,ma06_01,1.183,2.583,human,fear memories
