obs_ID,study_ID,year,ntot,es,var,meta_ID,research_aim
obs_001,Lajud_etal_2021,2021,NA,0.06,0.118778699,ma10_01,human
obs_002,Menezes_etal_2020,2020,NA,-1.049,0.211083988,ma10_01,human
obs_003,Banqueri_etal_2019,2019,NA,-0.333,0.054961539,ma10_01,human
obs_004,Kambali_etal_2017,2017,NA,2.841,0.620558101,ma10_01,human
obs_005,Lazzaretti_etal_ s1_2018,2018,NA,0.034,0.205264473,ma10_01,human
obs_006,Lazzaretti_etal_ s2_2018,2018,NA,0.097,0.223690389,ma10_01,human
obs_007,Banqueri_etal_ s1_2018,2018,NA,1.009,0.397671803,ma10_01,human
obs_008,Banqueri_etal_ s2_2018,2018,NA,1.009,0.397671803,ma10_01,human
obs_009,Adler_Schmauss _s1_2016,2016,NA,1.919,0.252044981,ma10_01,human
obs_010,Adler_Schmauss _s2_2016,2016,NA,1.618,0.343958312,ma10_01,human
obs_011,Thomas_etal_ s1_2016,2016,NA,1.091,0.150948108,ma10_01,human
obs_012,Thomas_etal_ s2_2016,2016,NA,0.026,0.191183101,ma10_01,human
obs_013,Thomas_etal_s3_2016,2016,NA,0.243,0.1368245,ma10_01,human
obs_014,Benner_etal_2014,2014,NA,1.123,0.205495692,ma10_01,human
obs_015,Wang_etal_2014,2014,NA,0.741,0.043864601,ma10_01,human
obs_016,Plescia_etal_ s1_2013,2013,NA,-1.474,0.291379633,ma10_01,human
obs_017,Plescia_etal_ s2_2013,2013,NA,-2.529,0.423163526,ma10_01,human
obs_018,Xue_etal_2013,2013,NA,0.137,0.155742985,ma10_01,human
obs_019,Baudin_etal_2012,2012,NA,1.878,0.707401148,ma10_01,human
obs_020,Noschang_etal_ s1_2012,2012,NA,1.047,0.155742985,ma10_01,human
obs_021,Noschang_etal_ s2_2012,2012,NA,0.097,0.23765625,ma10_01,human
obs_022,Wang_etal_ s1_2011,2011,NA,0.025,0.064946962,ma10_01,human
obs_023,Wang_etal_ s2_2011,2011,NA,0.569,0.082363143,ma10_01,human
obs_024,Mehta_Schmauss_s1_2011,2011,NA,1.999,0.348461318,ma10_01,human
obs_025,Mehta_Schmauss_s2_2011,2011,NA,1.125,0.262917795,ma10_01,human
obs_026,Enthoven_etal_2008,2008,NA,1.352,0.327989965,ma10_01,human
obs_027,Fabricius_etal_2008,2008,NA,1.076,0.159388341,ma10_01,human
obs_028,Lovic_Fleming_2004,2004,NA,1.008,0.161842006,ma10_01,human
obs_029,Levy_etal_2003,2003,NA,-0.786,0.141775302,ma10_01,human
obs_030,Oitzl_etal_2000,2000,NA,0.831,0.111337984,ma10_01,human
obs_031,Lehmann_etal_1999,1999,NA,-0.545,0.123394484,ma10_01,human
obs_032,Wong_Jamieson_1968,1968,NA,0.639,0.147009644,ma10_01,human
