obs_ID,study_ID,year,es,l_95,h_95,var,meta_ID
obs_001,Beiter_2016,2016,1.25,0.361111111,2.166666667,0.212153196,ma12_01
obs_002,Beiter_2016,2016,1.5,0.583333333,2.388888889,0.212153196,ma12_01
obs_003,Greenwood_2009,2009,-0.388888889,-1.333333333,0.5,0.2187312,ma12_01
obs_004,Greenwood_2009,2009,0.222222222,-0.694444444,1.111111111,0.212153196,ma12_01
obs_006,Jacquart_Roquet_2017,2017,-0.361111111,-1.25,0.527777778,0.205675619,ma12_01
obs_007,Jacquart_Roquet_2017,2017,-0.083333333,-0.972222222,0.777777778,0.199298469,ma12_01
obs_008,Jacquart_Roquet_2017,2017,-0.027777778,-0.916666667,0.888888889,0.212153196,ma12_01
obs_009,Jacquart_Roquet_2017,2017,-0.222222222,-1.138888889,0.694444444,0.2187312,ma12_01
obs_010,Jacquart_Roquet_2017,2017,0.083333333,-0.805555556,1.027777778,0.2187312,ma12_01
obs_011,Jacquart_Roquet_2017,2017,-0.166666667,-1.083333333,0.722222222,0.212153196,ma12_01
obs_012,Jacquart_Roquet_2017,2017,-0.222222222,-1.138888889,0.694444444,0.2187312,ma12_01
obs_013,Jacquart_Roquet_2017,2017,-0.027777778,-0.972222222,0.888888889,0.225409632,ma12_01
obs_014,Jacquart_Roquet_2017,2017,-0.083333333,-0.833333333,0.694444444,0.151896667,ma12_01
obs_015,Jacquart_Roquet_2017,2017,-0.277777778,-1.027777778,0.472222222,0.146423365,ma12_01
obs_016,Jacquart_Roquet_2017,2017,0.138888889,-0.638888889,0.972222222,0.168919136,ma12_01
obs_017,Jacquart_Roquet_2017,2017,-0.194444444,-1.027777778,0.583333333,0.168919136,ma12_01
obs_018,Jacquart_Roquet_2017,2017,-0.138888889,-0.638888889,0.361111111,0.065077051,ma12_01
obs_019,Jacquart_Roquet_2017,2017,2.333333333,1.277777778,3.444444444,0.305500602,ma12_01
obs_020,Lynch_2010,2010,-0.027777778,-1.083333333,0.972222222,0.274970627,ma12_01
obs_021,Mika_2015,2015,1.472222222,0.555555556,2.388888889,0.2187312,ma12_01
obs_022,Mika_2015,2015,0.527777778,-0.388888889,1.388888889,0.205675619,ma12_01
obs_023,Mustroph_2011,2011,-0.666666667,-1.527777778,0.138888889,0.180769587,ma12_01
obs_024,Mustroph_2011,2011,-0.194444444,-1,0.666666667,0.180769587,ma12_01
obs_025,Mustroph_2011,2011,1.361111111,0.388888889,2.333333333,0.246047493,ma12_01
obs_026,Ogbonmwan_2015,2015,1.416666667,0.444444444,2.361111111,0.239067778,ma12_01
obs_027,Ogbonmwan_2015,2015,1,0.083333333,1.944444444,0.225409632,ma12_01
obs_028,Peterson_2014,2014,-0.388888889,-1.583333333,0.75,0.35430839,ma12_01
obs_029,Peterson_2014,2014,1.166666667,-0.111111111,2.388888889,0.40673157,ma12_01
obs_030,Peterson_2014,2014,0,-0.777777778,0.75,0.151896667,ma12_01
obs_031,Peterson_2014,2014,0.833333333,0.055555556,1.555555556,0.146423365,ma12_01
obs_032,Peterson_2014,2014,1.888888889,1.027777778,2.722222222,0.186845453,ma12_01
obs_033,Peterson_2014,2014,2.361111111,1.388888889,3.277777778,0.232188491,ma12_01
obs_034,Peterson_2014,2014,-0.861111111,-1.75,-0.055555556,0.186845453,ma12_01
obs_035,Peterson_2014,2014,0.472222222,-0.305555556,1.277777778,0.163144552,ma12_01
obs_036,Peterson_2014,2014,-0.5,-1.444444444,0.472222222,0.239067778,ma12_01
obs_037,Peterson_2014,2014,-1.083333333,-2.027777778,-0.166666667,0.225409632,ma12_01
obs_038,Peterson_2014,2014,2.388888889,0.777777778,3.972222222,0.664077162,ma12_01
obs_039,Powers_2015,2015,0.027777778,-0.805555556,0.861111111,0.180769587,ma12_01
obs_040,Sanchez_2014,2014,0,-0.861111111,0.944444444,0.212153196,ma12_01
obs_041,Sanchez_2014,2014,0.833333333,-0.138888889,1.805555556,0.246047493,ma12_01
obs_042,Siette_2014,2014,1.694444444,0.694444444,2.694444444,0.260308205,ma12_01
obs_043,Siette_2014,2014,0.861111111,-0.194444444,1.833333333,0.267589202,ma12_01
obs_044,Smith_2012,2012,0.75,-0.277777778,1.75,0.267589202,ma12_01
obs_045,Smith_2012,2012,1.111111111,0.055555556,2.138888889,0.282452479,ma12_01
obs_046,Smith_2012,2012,0.75,-0.277777778,1.722222222,0.260308205,ma12_01
obs_047,Smith_2012,2012,1.194444444,0.111111111,2.25,0.297717467,ma12_01
obs_048,Smith_2012,2012,1.166666667,0.083333333,2.222222222,0.297717467,ma12_01
obs_049,Smith_2012,2012,0.5,-0.388888889,1.361111111,0.199298469,ma12_01
obs_050,Sobieraj_2016,2016,0.638888889,-0.25,1.527777778,0.205675619,ma12_01
obs_051,Sobieraj_2016,2016,0.5,-0.5,1.527777778,0.267589202,ma12_01
obs_052,Tsuboi_2015,2015,0,-0.833333333,0.833333333,0.180769587,ma12_01
obs_053,Zlebnik_2014,2014,-0.638888889,-1.472222222,0.222222222,0.186845453,ma12_01
obs_054,Zlebnik_2014,2014,0.388888889,-0.472222222,1.222222222,0.186845453,ma12_01
obs_055,Zlebnik_2014,2014,-0.555555556,-1.388888889,0.25,0.174794148,ma12_01
obs_056,Zlebnik_2014,2014,0.527777778,-0.333333333,1.333333333,0.180769587,ma12_01
obs_057,Zlebnik_2014,2014,0.333333333,-0.527777778,1.166666667,0.186845453,ma12_01
obs_058,Zlebnik_2014,2014,1.222222222,0.333333333,2.138888889,0.212153196,ma12_01
obs_059,Zlebnik_2014,2014,-0.222222222,-1.027777778,0.583333333,0.168919136,ma12_01
obs_060,Zlebnik_2014,2014,0.305555556,-0.5,1.111111111,0.168919136,ma12_01
obs_061,Zlebnik_2014,2014,-0.361111111,-1.166666667,0.472222222,0.174794148,ma12_01
