obs_ID,study_ID,year,es,var,meta_ID,l_95,h_95,research_aim
obs_001,Atsak_etal_2016,2016,-0.712643678,0.160408424,ma13_01,-1.46,0.11,human
obs_002,Bal_etal_2019,2019,-1.027777778,0.213198928,ma13_01,-1.83,-0.02,human
obs_003,Bal_etal_2019,2019,-0.310344828,0.185866566,ma13_01,-1.07,0.62,human
obs_004,Bal_etal_2019,2019,-1.436781609,0.222726208,ma13_01,-2.31,-0.46,human
obs_005,Barrett_etal_2021,2021,-2.643678161,0.381117243,ma13_01,-3.75,-1.33,human
obs_006,Boggiano_etal_2007,2007,-1.75862069,0.450131456,ma13_01,-2.88,-0.25,human
obs_007,Bowers_etal_1999,1999,-0.229885057,0.225140566,ma13_01,-1.03,0.83,human
obs_008,Calvez_etal_2011,2011,-1.75862069,0.341270564,ma13_01,-2.76,-0.47,human
obs_009,Calvez_etal_2011,2011,-1.517241379,0.317842826,ma13_01,-2.5,-0.29,human
obs_010,Cifani_etal_2013,2013,-0.471264368,0.203879894,ma13_01,-1.21,0.56,human
obs_011,Cifani_etal_2013,2013,1.459770115,0.2655404,ma13_01,0.5,2.52,human
obs_012,DerAvakian_etal_2010,2010,0.977011494,0.217936537,ma13_01,0.24,2.07,human
obs_013,Enkel_etal_2010,2010,0.735632184,0.142544773,ma13_01,0.1,1.58,human
obs_014,Enkel_etal_2010,2010,-0.390804598,0.071747449,ma13_01,-0.81,0.24,human
obs_015,Goebel-Stengel_etal_2014,2014,2.022988506,0.362453145,ma13_01,0.94,3.3,human
obs_016,Hebb_etal_2003,2003,-2.402298851,0.499329706,ma13_01,-3.66,-0.89,human
obs_017,Hotta_etal_1999,1999,-11.73563218,4.483158059,ma13_01,-15.83,-7.53,human
obs_018,Hotta_etal_1999,1999,-20.18390805,20.48024261,ma13_01,-28.94,-11.2,human
obs_019,Katz_etal_1979,1979,0.413793103,0.100062474,ma13_01,-0.18,1.06,human
obs_020,Krahn_etal_1986,1986,-3.126436782,0.416551697,ma13_01,-4.32,-1.79,human
obs_021,Krahn_etal_1986,1986,-1.83908046,0.341270564,ma13_01,-2.9,-0.61,human
obs_022,Makhijani_etal_2021,2021,1.057471264,0.183673469,ma13_01,0.32,2,human
obs_023,Pecoraro_etal_2005,2005,0.816091954,0.278848657,ma13_01,-0.11,1.96,human
obs_024,Ramsey_etal_1993,1993,0.172413793,0.190291805,ma13_01,-0.65,1.06,human
obs_025,Ramsey_etal_1993,1993,1.701149425,0.397028582,ma13_01,0.63,3.1,human
obs_026,Ramsey_etal_1993,1993,0.333333333,0.118602926,ma13_01,-0.23,1.12,human
obs_027,Reed_etal_2021,2021,-6.344827586,1.869637651,ma13_01,-8.85,-3.49,human
obs_028,Reed_etal_2021,2021,-3.850574713,0.206190129,ma13_01,-4.66,-2.88,human
obs_029,Rykhtik_etal_1997,1997,-1.195402299,0.1368245,ma13_01,-1.77,-0.32,human
obs_030,Rykhtik_etal_1997,1997,-1.114942529,0.133076062,ma13_01,-1.69,-0.26,human
obs_031,Sekino_etal_2004,2004,-4.091954023,0.645727041,ma13_01,-5.58,-2.43,human
obs_032,Sekino_etal_2004,2004,-3.931034483,0.593528738,ma13_01,-5.27,-2.25,human
obs_033,Sekino_etal_2004,2004,-18.62835249,10.98110813,ma13_01,-25.06,-12.07,human
obs_034,Sekino_etal_2004,2004,-3.542145594,0.574038161,ma13_01,-4.85,-1.88,human
obs_035,Sekino_etal_2004,2004,-4.659642401,0.6133447,ma13_01,-5.96,-2.89,human
obs_036,Shibasaki_etal_1988,1988,-1.30715198,0.125735371,ma13_01,-1.87,-0.48,human
obs_037,Shibasaki_etal_1988,1988,-2.759897829,0.353296803,ma13_01,-3.76,-1.43,human
obs_038,Shibasaki_etal_1988,1988,-2.424648787,0.338296543,ma13_01,-3.37,-1.09,human
obs_039,Shibasaki_etal_1988,1988,-3.262771392,0.426488963,ma13_01,-4.4,-1.84,human
obs_040,Shimizu_etal_1989,1989,-3.151021711,0.806330696,ma13_01,-4.85,-1.33,human
obs_041,Smagin_etal_1999,1999,-1.810025543,0.474411703,ma13_01,-3.06,-0.36,human
obs_042,Zorilla_etal_2004,2004,-1.251277139,0.170788213,ma13_01,-2.02,-0.4,human
obs_043,Zorilla_etal_2004,2004,-1.586526181,0.217936537,ma13_01,-2.43,-0.6,human
