obs_ID,study_ID,year,es,var,h95,l95,meta_ID
obs001,Han_etal_2011,2011,0,0.166597251,-0.8,0.8,ma15_04
obs002,Han_etal_2011,2011,0.89,0.185866566,0.04,1.73,ma15_04
obs003,Han_etal_2014,2014,0.24,0.168686224,-0.56,1.05,ma15_04
obs004,Han_etal_2014,2014,0.2,0.166597251,-0.6,1,ma15_04
obs005,Han_etal_2014,2014,0.63,0.177172272,-0.19,1.46,ma15_04
obs006,Han_etal_2014,2014,1.12,0.19702728,0.25,1.99,ma15_04
obs007,Wu_etal_2015,2015,-0.22,0.166597251,-1.02,0.58,ma15_04
obs008,Wu_etal_2015,2015,1.18,0.201582674,0.3,2.06,ma15_04
obs009,Wu_etal_2019,2019,-3.31,0.539775094,-4.75,-1.87,ma15_04
obs010,Xu_etal_2021,2021,0.34,0.113390254,-0.32,1,ma15_04
obs011,Xu_etal_2021,2021,0.85,0.100062474,0.23,1.47,ma15_04
