obs_ID,study_ID,year,es,var,h95,l95,meta_ID
obs001,Graf_2016,2016,-1.58,0.513854904,-0.17,-2.98,ma21_01
obs002,Robb_2017,2017,-0.81,0.24492399,0.16,-1.78,ma21_01
obs003,Robb_2017,2017,-0.62,0.234928155,0.33,-1.57,ma21_01
obs004,Tozuka_2010,2010,-0.41,0.188072678,0.44,-1.26,ma21_01
obs005,Tozuka_2010,2010,-0.3,0.206190129,0.59,-1.19,ma21_01
obs006,Gref_2016,2016,-0.09,0.281549354,0.95,-1.13,ma21_01
obs007,White_2009,2009,-0.05,0.201582674,0.83,-0.93,ma21_01
obs008,Bilbo_2010,2010,0.27,0.323621668,1.38,-0.85,ma21_01
obs009,Bilbo_2010,2010,0.28,0.323621668,1.4,-0.83,ma21_01
obs010,Bilbo_2010,2010,1.43,0.403484225,2.67,0.18,ma21_01
obs011,Bilbo_2010,2010,1.55,0.419851104,2.82,0.28,ma21_01
