obs_ID,study_ID,year,Ntot,es,var,meta_ID,research_aim
obs_001,Trofimiuk_etal_2013,2013,NA,-1.054493,0.1344078,ma23_01,human
obs_002,Braszko_etal_2013,2013,NA,-1.141999,0.1372344,ma23_01,human
obs_003,Kasar_etal_2009,2009,NA,-0.039799,0.2679099,ma23_01,human
obs_004,Maratha_etal_2012,2012,NA,-6.233868,1.952546,ma23_01,human
obs_005,Nowakowska_etal_2001,2001,NA,-5.869362,1.326544,ma23_01,human
obs_006,Sun_etal_2006,2006,NA,0.1942968,0.08372658,ma23_01,human
obs_007,Trofimiuk_etal_2014,2014,NA,-1.689056,0.1600101,ma23_01,human
obs_008,Gouirand_etal_2005,2005,NA,0.13238395,0.115375667,ma23_01,human
obs_009,Abidin_etal_2004,2004,NA,-0.3237963,0.2026211,ma23_01,human
obs_010,Bessa_etal_2009,2009,NA,-0.2620122,0.144083,ma23_01,human
obs_011,Solas_etal_2013,2013,NA,-0.6710694,0.3017976,ma23_01,human
obs_012,Sandi_etal_2003,2003,NA,-0.5031349,0.2435565,ma23_01,human
obs_013,Li_etal_2009,2009,NA,-0.4107363,0.121122967,ma23_01,human
obs_014,Bisaz_etal_2011,2011,NA,0.32839215,0.27098615,ma23_01,human
obs_015,Abush_etal_2013,2013,NA,-1.558128,0.3487826,ma23_01,human
obs_016,Srikumar_etal_2006,2006,NA,0.1635116,0.1683892,ma23_01,human
obs_017,Vasconcellos_etal_2005,2005,NA,-0.437597267,0.054830215,ma23_01,human
obs_018,Zhang_etal_2007,2007,NA,-5.842842,1.05347,ma23_01,human
obs_019,Liao_etal_2012,2012,NA,-1.00849145,0.1411348,ma23_01,human
obs_020,Sandi_etal_2006,2006,NA,-0.052202943,0.19108305,ma23_01,human
obs_021,Sandi_etal_2006,2006,NA,-0.399152067,0.1994632,ma23_01,human
obs_022,Song_etal_2006,2006,NA,-0.5661385,0.1933761,ma23_01,human
obs_023,Trofimiuk_etal_2013,2013,NA,-0.2104543,0.1187069,ma23_01,human
obs_024,Liu_etal_2010,2010,NA,-0.1770528,0.1338558,ma23_01,human
