obs_ID,study_ID,year,es,meta_ID,n_tr,n_ctr,var,research_aim
obs_001,Berger-Sweeney_etal_1995,1995,0.44,ma25_01,10,9,0.216205848,human
obs_002,Frick_etal_2000,2000,-0.96,ma25_01,9,8,0.263216993,human
obs_003,Frick_etal_2000,2000,3.16,ma25_01,9,9,0.4996,human
obs_004,Frick_etal_2000,2000,-1.27,ma25_01,9,15,0.211379861,human
obs_005,Lamberty_Gower_1988,1988,-0.23,ma25_01,18,18,0.111845833,human
obs_006,Bucci_etal_1995,1995,0.58,ma25_01,17,17,0.122594118,human
obs_007,Healy_etal_1999,1999,0.92,ma25_01,7,8,0.296070476,human
obs_008,Kelly_etal_1988,1988,1.33,ma25_01,7,9,0.309246379,human
obs_009,Kolb_Cioe_1996,1996,0.89,ma25_01,7,7,0.314003571,human
obs_010,Lukoyanov_etal_1999,1999,-0.16,ma25_01,20,9,0.16155249,human
obs_011,Lukoyanov_etal_1999,1999,0.08,ma25_01,9,11,0.202180202,human
obs_012,Lukoyanov_etal_1999,1999,-0.35,ma25_01,11,11,0.184602273,human
obs_013,Markowska_1999,1999,0.96,ma25_01,12,10,0.204278788,human
obs_014,Markowska_1999,1999,1.19,ma25_01,12,20,0.155459896,human
obs_015,Markowska_1999,1999,1.65,ma25_01,10,10,0.2680625,human
obs_016,Markowska_1999,1999,0.9,ma25_01,12,20,0.145989583,human
obs_017,Perrot-Sinal_etal_1996,1996,1.31,ma25_01,10,10,0.2429025,human
obs_018,Perrot-Sinal_etal_1996,1996,0.46,ma25_01,10,10,0.20529,human
obs_019,Warren_Juraska_2000,2000,0.88,ma25_01,13,7,0.23914022,human
obs_020,LaBuda_etal_2002,2002,0.3,ma25_01,31,30,0.066329103,human
obs_021,Mishima_etal_1986,1986,0.86,ma25_01,20,20,0.109245,human
obs_022,Einon_1980,1980,0.99,ma25_01,12,12,0.187085417,human
obs_023,Einon_1980,1980,0.28,ma25_01,12,12,0.1683,human
obs_024,Endo_etal_1994,1994,0.57,ma25_01,6,5,0.381434848,human
obs_025,Endo_etal_1994,1994,-0.68,ma25_01,6,5,0.387684848,human
obs_026,Endo_etal_1994,1994,1.67,ma25_01,9,11,0.271742702,human
obs_027,Endo_etal_1994,1994,0.1,ma25_01,10,10,0.20025,human
obs_028,Juraska_etal_1984,1984,-0.2,ma25_01,10,10,0.201,human
obs_029,Juraska_etal_1984,1984,1.06,ma25_01,10,10,0.22809,human
obs_030,Juraska_etal_1984,1984,0.35,ma25_01,7,7,0.290089286,human
obs_031,Juraska_etal_1984,1984,0.25,ma25_01,7,7,0.287946429,human
obs_032,Kobayashietal_1988,1988,0.72,ma25_01,29,11,0.13187185,human
obs_033,Kobayashi_etal_1988,1988,0.39,ma25_01,21,10,0.150072273,human
obs_034,Kolb_Cioe_1996,1996,0.36,ma25_01,16,16,0.127025,human
obs_035,Lund_Lephart_2001,2001,1.13,ma25_01,8,10,0.260469444,human
obs_036,Roof_1993,1993,1.09,ma25_01,6,7,0.355219963,human
obs_037,Seymoure_etal_1996,1996,2.87,ma25_01,13,13,0.312248077,human
obs_038,Seymoure_etal_1996,1996,2.28,ma25_01,113,13,0.106401206,human
obs_039,Tees_etal_1981,1981,0.94,ma25_01,16,15,0.14341828,human
obs_040,LaBuda_etal_2002,2002,0.16,ma25_01,31,30,0.065801234,human
obs_041,Kolb_Cioe_1996,1996,0.29,ma25_01,16,16,0.126314063,human
obs_042,Seymoure_etal_1996,1996,2.29,ma25_01,13,13,0.254694231,human
obs_043,Seymoure_etal_1996,1996,1.1,ma25_01,13,13,0.177115385,human
