obs_ID,study_ID,year,es,var,meta_ID,research_aim,note,note2
obs_001,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_01,human,high fat diet,overlap
obs_002,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_01,human,high fat diet,overlap
obs_003,Alzoubi_etal_2013a,2013,-0.754,0.145,ma28_01,human,high fat diet,overlap
obs_004,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_01,human,high fat diet,overlap
obs_005,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_01,human,high fat diet,overlap
obs_006,Alzoubi_etal_2013b,2013,-0.817,0.169,ma28_01,human,high fat diet,overlap
obs_007,Alzoubi_etal_2018,2018,-0.728,0.135,ma28_01,human,high fat diet,overlap
obs_008,Alzoubi_etal_2018,2018,-0.728,0.135,ma28_01,human,high fat diet,overlap
obs_009,Amold_etal_2014,2014,-1.12,0.389,ma28_01,human,high fat diet,overlap
obs_010,Amad_etal_2014,2014,-0.951,0.206,ma28_01,human,high fat diet,not overlap
obs_011,Ayabe_etal_2018,2018,-0.236,0.225,ma28_01,human,high fat diet,overlap
obs_012,Boitard_etal_2014,2014,-0.571,0.151,ma28_01,human,high fat diet,overlap
obs_013,Boitard_etal_2014,2014,-0.19,0.146,ma28_01,human,high fat diet,overlap
obs_014,Che_etal_2018,2018,-1.014,0.256,ma28_01,human,high fat diet,overlap
obs_015,Denver_etal_2018,2018,-0.197,0.156,ma28_01,human,high fat diet,overlap
obs_016,Denver_etal_2018,2018,0.197,0.156,ma28_01,human,high fat diet,overlap
obs_017,Denver_etal_2018,2018,0.197,0.156,ma28_01,human,high fat diet,overlap
obs_018,Gergerlioglu_etal_2016,2016,-1.957,0.343,ma28_01,human,high fat diet,overlap
obs_019,Hargrave_etal_2015,2015,0.214,0.185,ma28_01,human,high fat diet,not overlap
obs_020,Hargrave_etal_2015,2015,0.214,0.185,ma28_01,human,high fat diet,not overlap
obs_021,Jamshed_etal_2014,2014,-1.529,0.334,ma28_01,human,high fat diet,overlap
obs_022,Jurdak_etal_2008,2008,-0.037,0.183,ma28_01,human,high fat diet,overlap
obs_023,Jurdak_etal_2008,2008,-0.201,0.184,ma28_01,human,high fat diet,overlap
obs_024,Liang_etal_2015,2015,-1.014,0.256,ma28_01,human,high fat diet,overlap
obs_025,Magnusson_etal_2015,2015,-0.209,0.286,ma28_01,human,high fat diet,overlap
obs_026,Magnusson_etal_2015,2015,0.383,0.29,ma28_01,human,high fat diet,overlap
obs_027,Magnusson_etal_2015,2015,-0.763,0.308,ma28_01,human,high fat diet,overlap
obs_028,Magnusson_etal_2015,2015,-0.723,0.306,ma28_01,human,high fat diet,overlap
obs_029,Magnusson_etal_2015,2015,0.486,0.294,ma28_01,human,high fat diet,overlap
obs_030,Magnusson_etal_2015,2015,0.515,0.295,ma28_01,human,high fat diet,overlap
obs_031,Magnusson_etal_2015,2015,-1.759,0.413,ma28_01,human,high fat diet,overlap
obs_032,Mirzaei_etal_2018,2018,-1.68,0.254,ma28_01,human,high fat diet,overlap
obs_033,Moreira_etal_2014,2014,-1.269,0.224,ma28_01,human,high fat diet,overlap
obs_034,Park_etal_2018,2018,-1.429,0.198,ma28_01,human,high fat diet,not overlap
obs_035,Pathan_etal_2008,2008,-1.014,0.256,ma28_01,human,high fat diet,overlap
obs_036,Pratchayasakul_etal_2015,2015,-0.286,0.33,ma28_01,human,high fat diet,overlap
obs_037,Pratchayasakul_etal_2015,2015,-0.286,0.33,ma28_01,human,high fat diet,overlap
obs_038,Scichilone_etal_2016,2016,-0.172,0.119,ma28_01,human,high fat diet,overlap
