obs_ID,study_ID,year,C_mean,T_mean,C_sd,T_sd,C_n,T_n,meta_ID
obs_001,Piiroinen et al,2016,0.545454545,0.695652174,0.509647191,0.470471969,22,23,ma14_01
obs_002,Tan et al,2015,0.735,0.478,0.464854816,0.739972972,90,90,ma14_01
obs_003,Tan et al,2015,0.735,0.421,0.464854816,0.844328135,90,90,ma14_01
obs_004,El Hassani et al ,2008,0.6213,0.5352,0.507092553,0.516397779,15,15,ma14_01
obs_005,El Hassani et al ,2008,0.6213,0.58037,0.507092553,0.507092553,15,16,ma14_01
obs_006,El Hassani et al ,2008,0.6213,0.443001,0.507092553,0.512347538,15,16,ma14_01
obs_007,El Hassani et al ,2008,0.4022,0.5719,0.507092553,0.513552591,15,14,ma14_01
obs_008,El Hassani et al ,2008,0.4022,0.425,0.507092553,0.513552591,15,14,ma14_01
obs_009,El Hassani et al ,2008,0.4022,0.30355,0.507092553,0.480384461,15,13,ma14_01
obs_010,Thany et al ,2015,0.74188,0.77807,0.592073246,0.947165405,90,90,ma14_01
obs_011,Thany et al ,2015,0.74188,0.71567,0.592073246,0.935401732,90,90,ma14_01
obs_012,Thany et al ,2015,0.77927,0.74885,0.725552986,0.923448322,90,90,ma14_01
obs_013,Thany et al ,2015,0.77927,0.71321,0.725552986,0.874021922,90,90,ma14_01
obs_014,Thany et al ,2015,0.5211,0.55458,0.856091808,0.648994244,90,90,ma14_01
obs_015,Thany et al ,2015,0.5211,0.67647,0.856091808,0.970218409,90,90,ma14_01
obs_016,Thany et al ,2015,0.71736,0.75466,0.816626583,0.626130977,90,90,ma14_01
obs_017,Thany et al ,2015,0.71736,0.49785,0.816626583,0.980464189,90,90,ma14_01
obs_018,Piiroinen & Goulson,2016,0.904761905,0.95,0.297101757,0.220721428,42,40,ma14_01
obs_019,Piiroinen & Goulson,2016,0.8108,0.7222,0.397,0.4542,37,36,ma14_01
obs_020,Stanley et al,2015,0.61,0.73,0.600588045,0.54427934,34,35,ma14_01
