obs_ID,study_ID,year,es,var,meta_ID,research_aim
1,CD001,2000,-0.119153838,0.077808642,ma09_01,animal
2,CD001,2000,0.21092344,0.125589036,ma09_01,animal
3,CD003,2017,-0.633260101,0.327977318,ma09_01,animal
4,CD003,2017,-1.359660238,0.324591425,ma09_01,animal
5,CD003,2017,-0.667094862,0.296820189,ma09_01,animal
7,CD004,2012,0.156387317,0.038201994,ma09_01,animal
8,CD004,2012,0.119577678,0.010627425,ma09_01,animal
9,CD006,2012,-0.505935638,0.008291224,ma09_01,animal
10,CD006,2012,0.011428696,0.007984548,ma09_01,animal
11,CD006,2012,-0.506817602,0.010125722,ma09_01,animal
12,CD006,2012,-0.105360515,0.019290123,ma09_01,animal
13,CD006,2012,0.046403395,0.019184205,ma09_01,animal
14,CD006,2012,0.187324438,0.04001845,ma09_01,animal
15,CD006,2012,-0.010362681,0.008837979,ma09_01,animal
16,CD006,2012,0.252413934,0.018630636,ma09_01,animal
17,CD006,2012,0.048682346,0.050208464,ma09_01,animal
18,CD006,2012,0.070954792,0.03697641,ma09_01,animal
19,CD010,2017,0.092089195,0.005555905,ma09_01,animal
20,CD010,2017,0.132325115,0.006320716,ma09_01,animal
21,CD010,2017,-0.021531859,0.000988596,ma09_01,animal
22,CD010,2017,-0.059858896,0.003167244,ma09_01,animal
23,CD010,2017,0.293671001,0.242773142,ma09_01,animal
24,CD010,2017,0.687714468,0.152953784,ma09_01,animal
25,CD010,2017,0.193266806,0.012616307,ma09_01,animal
26,CD010,2017,0.074806922,0.020352782,ma09_01,animal
27,CD010,2017,0.206947734,0.008132287,ma09_01,animal
28,CD010,2017,0.083581363,0.008573349,ma09_01,animal
29,CD010,2017,0.052262984,0.001200363,ma09_01,animal
30,CD010,2017,-0.052519946,0.002964593,ma09_01,animal
31,CD010,2017,0.19926002,0.3960039,ma09_01,animal
32,CD010,2017,0.813676043,0.141851708,ma09_01,animal
33,CD010,2017,0.050512286,0.021515637,ma09_01,animal
34,CD010,2017,-0.031675153,0.039634031,ma09_01,animal
42,CD011,2017,0.02601839,0.004306364,ma09_01,animal
