obs_ID,study_ID,year,es,var,meta_ID,note,note2,research_aim
obs_001,AghighiBidgoli_2020,2020,0.255430029,0.020823268,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_002,AghighiBidgoli_2020,2020,0.245601215,0.011570003,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_003,AghighiBidgoli_2020,2020,-0.196884921,0.00310005,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_004,Berardo_2016,2016,-0.013568729,0.024763987,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_005,Bghagya_2017,2017,0.316812743,0.004032126,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_006,Bghagya_2017,2017,0.187421007,0.004688994,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_007,Blanco_2017,2017,0.075562429,0.001169511,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_008,Castelhano-Carlos_2014,2014,-0.004670944,0.001220481,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_009,Chen_2010,2010,0.028575168,0.000506155,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_010,Chen_2010,2010,0.021005666,0.001213755,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_011,Cordier_2021,2021,0.217877836,0.097323639,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_012,Cordier_2021,2021,0.261155318,0.121572382,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_013,Cordier_2021,2021,0.147212117,0.045068694,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_014,Cordier_2021,2021,0.087085713,0.12392438,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_015,Cordier_2021,2021,-0.524097657,0.047904605,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_016,Cordier_2021,2021,0.394353572,0.036777761,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_017,Cordier_2021,2021,-0.422682043,0.068897374,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_018,Cui_2006,2006,0.152368437,0.025379527,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_019,Cui_2006,2006,-0.659507224,0.098874739,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_020,Dandi_2018,2018,-0.476201659,0.024925,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_021,Dandi_2018,2018,0.032517651,0.002455074,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_022,Dandi_2018,2018,0.191016946,0.022334671,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
obs_023,Dandi_2018,2018,-0.137214284,0.003317595,ma22_02,stress,this paper is also used in MA22_02 and MA22_03,human
