obs_ID,study_ID,year,Ntot,es,var,meta_ID,note,r raw,r magnitude,Zr magnitude,research_aim
obs_001,Bensky_et_al,2017,9,0.891,0.167,ma17_01,es is Zr value,0.712,0.712,0.891,animal
obs_002,Bensky_et_al,2017,9,0.537,0.167,ma17_01,es is Zr value,0.491,0.491,0.537,animal
obs_003,Exnerova_et_al,2010,40,-0.546,0.027,ma17_01,es is Zr value,-0.498,0.498,0.546,animal
obs_004,Mesquita_et_al,2015,15,-0.384,0.083,ma17_01,es is Zr value,-0.366,0.366,0.384,animal
obs_005,Guillette_et_al,2015,29,-0.175,0.038,ma17_01,es is Zr value,-0.173,0.173,0.175,animal
obs_006,Guillette_et_al,2015,28,-0.175,0.04,ma17_01,es is Zr value,-0.173,0.173,0.175,animal
obs_007,Guillette_et_al,2015,27,0.227,0.042,ma17_01,es is Zr value,0.224,0.224,0.227,animal
obs_008,Guillette_et_al,2015,26,-0.203,0.043,ma17_01,es is Zr value,-0.2,0.2,0.203,animal
obs_009,Guillette_et_al,2011,27,0.055,0.042,ma17_01,es is Zr value,0.055,0.055,0.055,animal
obs_010,Guillette_et_al,2011,27,-0.481,0.042,ma17_01,es is Zr value,-0.447,0.447,0.481,animal
obs_011,Kareklas_et_al,2017,15,0.792,0.083,ma17_01,es is Zr value,0.66,0.66,0.792,animal
obs_012,Moiron_et_al,2016,31,0.124,0.036,ma17_01,es is Zr value,0.124,0.124,0.124,animal
obs_013,Bousquet_et_al,2015,10,0.043,0.143,ma17_01,es is Zr value,0.043,0.043,0.043,animal
obs_014,Guillette_et_al,2009,24,0.877,0.048,ma17_01,es is Zr value,0.705,0.705,0.877,animal
obs_015,Moldoff_Westneat,2017,18,0.004,0.067,ma17_01,es is Zr value,0.004,0.004,0.004,animal
obs_016,Kazlauckas_et_al,2005,27,0.804,0.042,ma17_01,es is Zr value,0.666,0.666,0.804,animal
obs_017,Gibelli_Dubois,2017,19,-0.051,0.063,ma17_01,es is Zr value,-0.05,0.05,0.051,animal
obs_018,Gibelli_Dubois,2017,20,-0.04,0.059,ma17_01,es is Zr value,-0.04,0.04,0.04,animal
obs_019,Gibelli_Dubois,2017,18,0.103,0.067,ma17_01,es is Zr value,0.103,0.103,0.103,animal
obs_020,Logan,2016,8,-0.333,0.2,ma17_01,es is Zr value,-0.321,0.321,0.333,animal
obs_021,Logan,2016,8,0.138,0.2,ma17_01,es is Zr value,0.138,0.138,0.138,animal
obs_022,Logan,2016,7,-0.087,0.25,ma17_01,es is Zr value,-0.087,0.087,0.087,animal
obs_023,Logan,2016,7,0.275,0.25,ma17_01,es is Zr value,0.269,0.269,0.275,animal
obs_024,Titulaer_et_al,2012,52,0.247,0.02,ma17_01,es is Zr value,0.242,0.242,0.247,animal
obs_025,Titulaer_et_al,2012,31,0.633,0.036,ma17_01,es is Zr value,0.56,0.56,0.633,animal
obs_026,Titulaer_et_al,2012,21,-0.606,0.056,ma17_01,es is Zr value,-0.541,0.541,0.606,animal
obs_027,Titulaer_et_al,2012,52,-0.232,0.02,ma17_01,es is Zr value,-0.228,0.228,0.232,animal
obs_028,Titulaer_et_al,2012,52,0.11,0.02,ma17_01,es is Zr value,0.11,0.11,0.11,animal
obs_029,Bannier_et_al,2017,56,0.105,0.019,ma17_01,es is Zr value,0.105,0.105,0.105,animal
obs_030,Bannier_et_al,2017,55,-0.014,0.019,ma17_01,es is Zr value,-0.014,0.014,0.014,animal
obs_031,Brust_Guenther,2015,21,-0.035,0.056,ma17_01,es is Zr value,-0.035,0.035,0.035,animal
obs_032,Brust_Guenther,2015,17,0.064,0.071,ma17_01,es is Zr value,0.064,0.064,0.064,animal
obs_033,Brust_Guenther,2015,21,-0.101,0.056,ma17_01,es is Zr value,-0.101,0.101,0.101,animal
obs_034,Brust_Guenther,2015,17,0.117,0.071,ma17_01,es is Zr value,0.116,0.116,0.117,animal
obs_035,Brust_Guenther,2015,21,0.18,0.056,ma17_01,es is Zr value,0.179,0.179,0.18,animal
obs_036,Brust_Guenther,2015,17,0.232,0.071,ma17_01,es is Zr value,0.228,0.228,0.232,animal
obs_037,Guenther_et_al,2014,21,0.285,0.056,ma17_01,es is Zr value,0.278,0.278,0.285,animal
obs_038,Guenther_et_al,2014,9,0.113,0.167,ma17_01,es is Zr value,0.113,0.113,0.113,animal
