obs_ID,study_ID,year,ntot,es,var,corr,research_aim
obs_001,Anderson_1993,1993,22,0.411800034,0.052631579,0.39,animal
obs_002,Anderson_1993,1993,22,0.276863823,0.052631579,0.27,animal
obs_003,Anderson_1993,1993,22,0.13073985,0.052631579,0.13,animal
obs_004,Anderson_1993,1993,22,0.459896681,0.052631579,0.43,animal
obs_005,Anderson_1993,1993,22,0.234189467,0.052631579,0.23,animal
obs_006,Anderson_1993,1993,22,0.562729769,0.052631579,0.51,animal
obs_007,Anderson_etal_2017,2017,19,0.041022997,0.0625,0.041,animal
obs_008,Anderson_etal_2017,2017,19,-0.080171325,0.0625,-0.08,animal
obs_009,Anderson_etal_2017,2017,19,0.477202013,0.0625,0.444,animal
obs_010,Anderson_etal_2017,2017,19,0.044028428,0.0625,0.044,animal
obs_011,Anderson_etal_2017,2017,19,0.736457344,0.0625,0.627,animal
obs_012,Anderson_etal_2017,2017,19,0.210035,0.0625,0.207,animal
obs_013,Anderson_etal_2017,2017,19,-0.076146835,0.0625,-0.076,animal
obs_014,Anderson_etal_2017,2017,19,0.40122894,0.0625,0.381,animal
obs_015,Anderson_etal_2017,2017,19,-0.435611223,0.0625,-0.41,animal
obs_016,Anderson_etal_2017,2017,19,-0.169607861,0.0625,-0.168,animal
obs_017,Anderson_etal_2017,2017,39,0.071119666,0.027777778,0.071,animal
obs_018,Anderson_etal_2017,2017,41,-0.019002287,0.026315789,-0.019,animal
obs_019,Anderson_etal_2017,2017,40,0.119566541,0.027027027,0.119,animal
obs_020,Anderson_etal_2017,2017,40,-0.163439918,0.027027027,-0.162,animal
obs_021,Anderson_etal_2017,2017,39,0.594326311,0.027777778,0.533,animal
obs_022,Anderson_etal_2017,2017,38,-0.039019791,0.028571429,-0.039,animal
obs_023,Anderson_etal_2017,2017,38,0.001,0.028571429,0.001,animal
obs_024,Anderson_etal_2017,2017,40,-0.032010929,0.027027027,-0.032,animal
obs_025,Anderson_etal_2017,2017,40,0.002000003,0.027027027,0.002,animal
obs_026,Anderson_etal_2017,2017,39,-0.118552299,0.027777778,-0.118,animal
obs_027,Arden & Adams_2016,2016,59,0.266108407,0.017857143,0.26,animal
obs_028,Arden & Adams_2016,2016,53,0.080171325,0.02,0.08,animal
obs_029,Arden & Adams_2016,2016,55,0.40005965,0.019230769,0.38,animal
obs_030,Arden & Adams_2016,2016,40,-0.060072156,0.027027027,-0.06,animal
obs_031,Arden & Adams_2016,2016,60,0.040021354,0.01754386,0.04,animal
obs_032,Arden & Adams_2016,2016,53,-0.050041729,0.02,-0.05,animal
obs_033,Arden & Adams_2016,2016,60,-0.255412812,0.01754386,-0.25,animal
obs_034,Arden & Adams_2016,2016,54,0.255412812,0.019607843,0.25,animal
obs_035,Arden & Adams_2016,2016,57,0.202732554,0.018518519,0.2,animal
obs_036,Arden & Adams_2016,2016,41,-0.13073985,0.026315789,-0.13,animal
obs_037,Arden & Adams_2016,2016,63,-0.161386696,0.016666667,-0.16,animal
obs_038,Arden & Adams_2016,2016,55,0.030009005,0.019230769,0.03,animal
obs_039,Arden & Adams_2016,2016,63,-0.151140436,0.016666667,-0.15,animal
obs_040,Arden & Adams_2016,2016,51,0.070114671,0.020833333,0.07,animal
obs_041,Arden & Adams_2016,2016,38,-0.151140436,0.028571429,-0.15,animal
obs_042,Arden & Adams_2016,2016,55,-0.320545409,0.019230769,-0.31,animal
obs_043,Arden & Adams_2016,2016,51,-0.110446916,0.020833333,-0.11,animal
obs_044,Arden & Adams_2016,2016,56,-0.020002667,0.018867925,-0.02,animal
obs_045,Arden & Adams_2016,2016,39,0.202732554,0.027777778,0.2,animal
obs_046,Arden & Adams_2016,2016,58,-0.298566264,0.018181818,-0.29,animal
obs_047,Arden & Adams_2016,2016,53,0.298566264,0.02,0.29,animal
obs_048,Arden & Adams_2016,2016,58,0.020002667,0.018181818,0.02,animal
obs_049,Arden & Adams_2016,2016,43,-0.618381314,0.025,-0.55,animal
obs_050,Arden & Adams_2016,2016,43,0.632833187,0.025,0.56,animal
obs_051,Arden & Adams_2016,2016,43,-0.223656109,0.025,-0.22,animal
obs_052,Arden & Adams_2016,2016,56,-0.320545409,0.018867925,-0.31,animal
obs_053,Arden & Adams_2016,2016,64,0.202732554,0.016393443,0.2,animal
obs_054,Arden & Adams_2016,2016,57,-0.276863823,0.018518519,-0.27,animal
obs_055,Ashton_etal_2018,2018,47,0.402399273,0.022727273,0.382,animal
