obs_ID,study_ID,year,es,var,study_ID_org,meta_ID
obs_001,Schrijver et al_2002,2002,0.093405554,0.03030303,study82,ma41_01
obs_002,Ausas et al_2019,2019,0.385785213,0.166666667,study08,ma41_01
obs_003,Ausas et al_2019,2019,1.617723645,0.166666667,study08,ma41_01
obs_004,Ausas et al_2019,2019,1.821935425,0.166666667,study08,ma41_01
obs_005,Bannier et al_2017,2017,-0.243952015,0.04,study09,ma41_01
obs_006,Bannier et al_2017,2017,0.09482892,0.047619048,study09,ma41_01
obs_007,Brenes et al_2016,2016,0.252084001,0.047619048,study16,ma41_01
obs_008,Dalley et al_2002,2002,0.327233474,0.058823529,study18,ma41_01
obs_009,Fischer et al_2015,2015,0.254734808,0.090909091,study106,ma41_01
obs_010,Fischer et al_2015,2015,0.392330223,0.111111111,study106,ma41_01
obs_011,Fischer et al_2015,2015,0.728353329,0.111111111,study106,ma41_01
obs_012,Fischer et al_2015,2015,-0.593840808,0.111111111,study106,ma41_01
obs_013,Fischer et al_2015,2015,-0.334341924,0.111111111,study106,ma41_01
obs_014,Fischer et al_2015,2015,0.449145978,0.066666667,study106,ma41_01
obs_015,Fitchett et al_2009,2009,0.003178282,0.04,study29,ma41_01
obs_016,Fitchett et al_2009,2009,0.157576018,0.032258065,study29,ma41_01
obs_017,Gil et al_2006,2006,0.146142749,0.034482759,study31,ma41_01
obs_018,Gil et al_2006,2006,0.173327611,0.034482759,study31,ma41_01
obs_019,Gil et al_2006,2006,-0.087884933,0.034482759,study31,ma41_01
obs_020,Gil et al_2006,2006,-0.116920923,0.034482759,study31,ma41_01
obs_021,Gil et al_2006,2006,-0.997842675,0.034482759,study31,ma41_01
obs_022,Gil et al_2006,2006,-0.155300054,0.032258065,study31,ma41_01
obs_023,Gil et al_2006,2006,-0.508013015,0.032258065,study31,ma41_01
obs_024,Gil et al_2006,2006,0.083541094,0.032258065,study31,ma41_01
obs_025,Gil et al_2006,2006,0,0.032258065,study31,ma41_01
obs_026,Gil et al_2006,2006,0,0.032258065,study31,ma41_01
obs_027,Gil et al_2006,2006,0,0.043478261,study31,ma41_01
obs_028,Gil et al_2006,2006,-0.231511593,0.043478261,study31,ma41_01
obs_029,Gil et al_2006,2006,0,0.043478261,study31,ma41_01
obs_030,Gil et al_2006,2006,-0.137390482,0.043478261,study31,ma41_01
obs_031,Gil et al_2006,2006,-1.125263741,0.043478261,study31,ma41_01
obs_032,Heimer-McGinn et al_2020,2020,0.433207655,0.0625,study107,ma41_01
obs_033,Heimer-McGinn et al_2020,2020,-0.047742405,0.0625,study107,ma41_01
obs_034,Heimer-McGinn et al_2020,2020,0.253378561,0.0625,study107,ma41_01
obs_035,Heimer-McGinn et al_2020,2020,-0.048617802,0.0625,study107,ma41_01
obs_036,Heimer-McGinn et al_2020,2020,0.740118388,0.0625,study107,ma41_01
obs_037,Heimer-McGinn et al_2020,2020,-0.207653131,0.0625,study107,ma41_01
obs_038,Heimer-McGinn et al_2020,2020,-0.067565014,0.0625,study107,ma41_01
obs_039,Heimer-McGinn et al_2020,2020,0.432933552,0.0625,study107,ma41_01
obs_040,Heimer-McGinn et al_2020,2020,0.118067719,0.0625,study107,ma41_01
obs_041,Heimer-McGinn et al_2020,2020,0.266414581,0.0625,study107,ma41_01
obs_042,Heimer-McGinn et al_2020,2020,0.192600152,0.0625,study107,ma41_01
obs_043,Kogan et al_2000,2000,1.215176027,0.043478261,study39,ma41_01
obs_044,Kogan et al_2000,2000,0.130826923,0.043478261,study39,ma41_01
obs_045,Langley et al_2018,2018,0.325289769,0.071428571,study44,ma41_01
obs_046,Langley et al_2018,2018,0.494179461,0.071428571,study44,ma41_01
obs_047,Langley et al_2018,2018,0.815551712,0.2,study45,ma41_01
obs_048,Leris & Reader_2016,2016,0.120341156,0.017857143,study48,ma41_01
obs_049,Leris & Reader_2016,2016,0.097467868,0.017857143,study48,ma41_01
obs_050,Lipkind et al_2002,2002,1.023761235,0.0625,study53,ma41_01
obs_051,Lipkind et al_2002,2002,0.905204862,0.142857143,study53,ma41_01
obs_052,Lipkind et al_2002,2002,0.855539046,0.142857143,study53,ma41_01
obs_053,Machatschke et al_2011,2011,-0.17807328,0.028571429,study55,ma41_01
obs_054,Machatschke et al_2011,2011,-0.207424916,0.028571429,study55,ma41_01
obs_055,Machatschke et al_2011,2011,0.031096174,0.028571429,study55,ma41_01
obs_056,Machatschke et al_2011,2011,-0.228317482,0.028571429,study55,ma41_01
obs_057,Meagher et al_2015,2015,0.38371763,0.083333333,study61,ma41_01
obs_058,Meagher et al_2015,2015,-0.113252668,0.058823529,study62,ma41_01
obs_059,Meagher et al_2015,2015,-0.256800915,0.052631579,study62,ma41_01
obs_060,Meagher et al_2015,2015,-0.286588284,0.058823529,study62,ma41_01
obs_061,Meagher et al_2015,2015,-0.208073381,0.052631579,study62,ma41_01
obs_062,Meagher et al_2015,2015,-0.227882324,0.052631579,study62,ma41_01
obs_063,Riley et al_2017,2017,0.004119014,0.04,study75,ma41_01
obs_064,Riley et al_2017,2017,0.105430681,0.04,study75,ma41_01
obs_065,Riley et al_2017,2017,0.089790241,0.04,study75,ma41_01
obs_066,Riley et al_2018,2018,-0.020732843,0.076923077,study76,ma41_01
obs_067,Riley et al_2018,2018,-0.017431072,0.083333333,study76,ma41_01
obs_068,Riley et al_2018,2018,0.013505047,0.083333333,study76,ma41_01
obs_069,Riley et al_2018,2018,-0.00936071,0.076923077,study76,ma41_01
obs_070,Riley et al_2018,2018,0.015838901,0.090909091,study76,ma41_01
