obs_ID,study_ID,year,ntot,es,var,meta_ID,note,research_aim
obs_001,Benson-Amram_etal_2016,2016,24,0,0.05,ma47_01,NA,animal
obs_002,Lermite_etal_2017,2017,49,-0.22,0.0217,ma47_01,NA,animal
obs_003,Griffin_etal_2012,2012,34,0.03,0.0323,ma47_01,NA,animal
obs_004,Benson-Amram_etal_2016,2016,3,0.93,0.09,ma47_01,NA,animal
obs_005,Day_etal_2003,2003,8,0.21,0.2,ma47_01,NA,animal
obs_006,Day_etal_2003,2003,8,-0.19,0.2,ma47_01,NA,animal
obs_007,Day_etal_2003,2003,10,1.46,0.1429,ma47_01,NA,animal
obs_008,Day_etal_2003,2003,10,-0.39,0.1429,ma47_01,NA,animal
obs_009,Burkart_etal_2009,2009,18,-0.03,0.0667,ma47_01,NA,animal
obs_010,Burkart_etal_2009,2009,18,0.07,0.0667,ma47_01,NA,animal
obs_011,vandeWaal_etal_2013,2013,79,0.31,0.0132,ma47_01,NA,animal
obs_012,Benson-Amram_Holekamp_2012,2012,62,0.47,0.0397,ma47_01,NA,animal
obs_013,Benson-Amram_etal_2013,2013,19,0.91,0.017,ma47_01,NA,animal
obs_014,Benson-Amram_Holekamp_2012,2012,41,0.12,0.026,ma47_01,NA,animal
obs_015,Benson-Amram_etal_2013,2013,16,0.64,0.077,ma47_01,NA,animal
obs_016,Benson-Amram_Holekamp_2012,2012,62,-0.04,0.0169,ma47_01,NA,animal
obs_017,Benson-Amram_Holekamp_2012,2012,62,0.02,0.017,ma47_01,NA,animal
obs_018,Benson-Amram_etal_2013,2013,19,-0.63,0.063,ma47_01,NA,animal
obs_019,Morand-Ferron_Quinn_2011,2011,66,-0.14,0.0159,ma47_01,es and var came from two primary papers (Morand-Ferron_Quinn_2011 and Morand-Ferron_etal_2011),animal
obs_020,Morand-Ferron_Quinn_2011,2011,66,-0.19,0.0159,ma47_01,es and var came from two primary papers (Morand-Ferron_Quinn_2011 and Morand-Ferron_etal_2011),animal
obs_021,Huebner_Fichtel_2015,2015,29,0.55,0.0417,ma47_01,NA,animal
