obs_ID,study_ID,year,es,var,meta_ID,l_95,h_95,research_aim,memo
obs_001,Flavell_2011,2011,1.36,0.317842826,ma06_02,0.255,2.465,human,appetitive memories
obs_002,Flavell_2011,2011,1.586,0.347257653,ma06_02,0.431,2.741,human,appetitive memories
obs_003,Ma_2012,2012,0.46,0.086364015,ma06_02,-0.116,1.036,human,appetitive memories
obs_004,Ma_2012,2012,0.082,0.143702884,ma06_02,-0.661,0.825,human,appetitive memories
obs_005,Ma_2012,2012,0.372,0.141775302,ma06_02,-0.366,1.11,human,appetitive memories
obs_006,Millan_2013,2013,1.236,0.272952936,ma06_02,0.212,2.26,human,appetitive memories
obs_007,Millan_2013,2013,-1.023,0.253584184,ma06_02,-2.01,-0.036,human,appetitive memories
obs_008,Olshavsky_2013b,2013,0.335,0.082216785,ma06_02,-0.227,0.897,human,appetitive memories
obs_009,Olshavsky_2013b,2013,0.771,0.084277645,ma06_02,0.202,1.34,human,appetitive memories
obs_010,Sartor_2013,2013,1.51,0.312686381,ma06_02,0.414,2.606,human,appetitive memories
obs_011,Xue_2012,2012,1.4,0.363067732,ma06_02,0.219,2.581,human,appetitive memories
obs_012,Xue_2012,2012,1.925,0.398315546,ma06_02,0.688,3.162,human,appetitive memories
obs_013,Xue_2012,2012,1.224,0.26817602,ma06_02,0.209,2.239,human,appetitive memories
