obs_ID,study_ID,year,Ntot,es,var,meta_ID,note,abs_Eff,research_aim
obs_001,Abraham_Gruss_2010,2010,20,-1.06,0.228,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.06,animal
obs_002,Abraham_Gruss_2010,2010,17,-0.68,0.25,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.68,animal
obs_003,Abraham_Gruss_2010,2010,20,-0.86,0.219,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.86,animal
obs_004,Abraham_Gruss_2010,2010,18,-0.3,0.225,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_005,Adams_et_al_2001,2001,28,0.2,0.15,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_006,Adams_et_al_2001,2001,33,0.29,0.12,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_007,Ahlbeck_Bergendahl_et_al_2016,2016,35,1.19,0.137,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.19,animal
obs_008,Ahlbeck_Bergendahl_et_al_2016,2016,35,0.29,0.118,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_009,Ahlbeck_Bergendahl_et_al_2016,2016,33,0.84,0.133,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.84,animal
obs_010,Aisa_et_al_2007,2007,20,-0.47,0.206,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_011,Akillioglu_et_al_2012,2012,20,0.47,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_012,Akillioglu_et_al_2015,2015,21,0.3,0.197,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_013,Akillioglu_et_al_2015,2015,21,1.43,0.243,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.43,animal
obs_014,Alliger_Moller_2011,2011,16,0.82,0.271,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.82,animal
obs_015,Alliger_Moller_2011,2011,16,0.34,0.254,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.34,animal
obs_016,Amaral_et_al_2008,2008,18,0.39,0.226,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_017,Amitai_et_al_2014,2014,52,0.18,0.077,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_018,Amitai_et_al_2014,2014,52,0.34,0.078,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.34,animal
obs_019,Anderson_Kasumovic_2017,2017,36,-0.58,0.116,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.58,animal
obs_020,Anderson_Kasumovic_2017,2017,32,-0.53,0.13,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_021,Angevaare_et_al_2012,2012,20,-0.77,0.215,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.77,animal
obs_022,Bannier_et_al_2017,2017,28,0.26,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.26,animal
obs_023,Bannier_et_al_2017,2017,28,-0.3,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_024,Bannier_et_al_2017,2017,28,0.1,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_025,Bannier_et_al_2017,2017,27,-0.17,0.149,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.17,animal
obs_026,Bannier_et_al_2017,2017,26,0.06,0.155,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_027,Bannier_et_al_2017,2017,26,0.62,0.162,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.62,animal
obs_028,Barha_et_al_2007,2007,18,-0.1,0.223,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_029,Barha_et_al_2007,2007,18,-0.18,0.223,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_030,Bell_et_al_2009,2009,61,0.45,0.07,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_031,Bell_et_al_2009,2009,57,0.71,0.081,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.71,animal
obs_032,Bennett_et_al_2006,2006,22,1.06,0.222,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.06,animal
obs_033,Bennett_et_al_2006,2006,22,0.18,0.197,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_034,Birch_et_al_2013,2013,23,1.71,0.238,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.71,animal
obs_035,Birch_Kelly_2019,2019,12,-0.85,0.363,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.85,animal
obs_036,Birch_Kelly_2019,2019,12,0.07,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_037,Birch_Kelly_2019,2019,12,0.85,0.364,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.85,animal
obs_038,Birch_Kelly_2019,2019,12,2.17,0.529,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.17,animal
obs_039,Bonaccorsi_et_al_2013,2013,48,0.31,0.084,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.31,animal
obs_040,Bolhuis_et_al_2013,2013,32,0.29,0.126,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_041,Bors_Forrin_1996,1996,40,-0.02,0.1,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
