obs_ID,study_ID,year,es,l_95,h_95,var,meta_ID,research_aim
obs_001,Amemiya_etal_2020,2020,-1.699208443,-2.67,-0.69,0.255128072,ma13_02,human
obs_002,Bai_etal_2019,2019,0.279683377,-0.66,1.26,0.239900042,ma13_02,human
obs_003,Bai_etal_2019,2019,-0.538258575,-1.37,0.34,0.190291805,ma13_02,human
obs_004,Bai_etal_2019,2019,0.200527704,-0.71,1.17,0.23000833,ma13_02,human
obs_005,Bai_etal_2019,2019,-0.19525066,-1.13,0.85,0.255128072,ma13_02,human
obs_006,Bai_etal_2019,2019,0.042216359,-0.7,0.99,0.185866566,ma13_02,human
obs_007,Bai_etal_2019,2019,-0.168865435,-1.03,0.83,0.225140566,ma13_02,human
obs_008,Bai_etal_2019,2019,-0.063324538,-1.45,1.4,0.528588349,ma13_02,human
obs_009,Braun & Hauber2013,2013,-3.704485488,-4.98,-2.3,0.467409413,ma13_02,human
obs_010,Braun & Hauber2013,2013,-1.672823219,-2.66,-0.6,0.276160975,ma13_02,human
obs_011,Bryce_etal_2016,2016,-1.277044855,-2.22,-0.28,0.24492399,ma13_02,human
obs_012,Chu_etal_2021,2021,2.100263852,0.93,3.38,0.390625,ma13_02,human
obs_013,Chu_etal_2021,2021,1.994722955,0.85,3.26,0.377974021,ma13_02,human
obs_014,Cozzoli_etal_2014,2014,-1.277044855,-2.23,-0.28,0.247455487,ma13_02,human
obs_015,Cozzoli_etal_2014,2014,-1.092348285,-1.69,-0.36,0.115114796,ma13_02,human
obs_016,Cozzoli_etal_2014,2014,-0.670184697,-1.28,0.03,0.111678728,ma13_02,human
obs_017,Cozzoli_etal_2014,2014,-1.488126649,-2.26,-0.68,0.162458351,ma13_02,human
obs_018,Farook_etal_2009,2009,0.332453826,-0.57,1.33,0.234928155,ma13_02,human
obs_019,Fatahi_etal_2014,2014,-1.672823219,-2.79,-0.49,0.344257601,ma13_02,human
obs_020,Haghparast_etal_2013,2013,-1.567282322,-2.63,-0.43,0.314972928,ma13_02,human
obs_021,Hart_etal_2017,2017,-0.221635884,-0.69,0.37,0.073120575,ma13_02,human
obs_022,Matthews_etal_2008,2008,1.625329815,0.63,2.7,0.278848657,ma13_02,human
obs_023,Matthews_etal_2008,2008,0.385224274,-0.42,1.28,0.188072678,ma13_02,human
obs_024,Matthews_etal_2008,2008,0.253298153,-0.45,1.08,0.152338869,ma13_02,human
obs_025,Mor_etal_2017,2017,0.411609499,-0.2,1.19,0.125735371,ma13_02,human
obs_026,Pielock_etal_2013,2013,-0.142480211,-0.82,0.65,0.140625,ma13_02,human
obs_027,Pielock_etal_2013,2013,-0.036939314,-0.55,0.6,0.0860644,ma13_02,human
obs_028,Roltsch_etal_2014,2014,0.490765172,-0.4,1.46,0.225140566,ma13_02,human
obs_029,Schippers_etal_2016,2016,-0.01055409,-1.12,1.12,0.326530612,ma13_02,human
obs_030,Shafiei_etal_2012,2012,-1.857519789,-2.66,-0.94,0.192523948,ma13_02,human
obs_031,Shafiei_etal_2012,2012,-0.538258575,-1.16,0.17,0.115114796,ma13_02,human
obs_032,Tambour_etal_2008,2008,-0.749340369,-1.22,-0.12,0.078743232,ma13_02,human
obs_033,Tambour_etal_2008,2008,-0.063324538,-0.49,0.49,0.0625,ma13_02,human
obs_034,Wada_etal_2020,2020,2.047493404,0.97,3.2,0.323621668,ma13_02,human
obs_035,Wanat_etal_2013,2013,-1.145118734,-1.96,-0.26,0.188072678,ma13_02,human
obs_036,Zurita_etal_1996,1996,-0.696569921,-1.35,0.04,0.125735371,ma13_02,human
obs_037,Zurita_etal_1996,1996,-0.986807388,-1.75,-0.19,0.158371512,ma13_02,human
