obs_ID,study_ID,year,es,var,h95,l95,meta_ID
obs001,Han_etal_2011,2011,0.09,0.166597251,-0.71,0.89,ma15_03
obs002,Han_etal_2011,2011,-1.27,0.20851338,-2.17,-0.38,ma15_03
obs003,Han_etal_2014,2014,-0.91,0.185866566,-1.75,-0.06,ma15_03
obs004,Han_etal_2014,2014,-0.36,0.170788213,-1.17,0.45,ma15_03
obs005,Han_etal_2014,2014,-1.34,0.213198928,-2.25,-0.44,ma15_03
obs006,Han_etal_2014,2014,-1.1,0.19702728,-1.97,-0.23,ma15_03
obs007,Wu_etal_2015,2015,-0.36,0.170788213,-1.17,0.45,ma15_03
obs008,Wu_etal_2015,2015,-1.05,0.194769107,-1.92,-0.19,ma15_03
obs009,Wu_etal_2019,2019,-0.73,0.215561224,-1.64,0.18,ma15_03
obs010,Xu_etal_2021,2021,-1.5,0.146423365,-2.25,-0.75,ma15_03
obs011,Xu_etal_2021,2021,-1.51,0.118602926,-2.19,-0.84,ma15_03
