obs_ID,study_ID,year,C_mean,T_mean,C_sd,T_sd,C_n,T_n,meta_ID
obs_001,Piiroinen et al,2016,0.238095238,0.368421053,0.43643578,0.495594628,21,19,ma14_02
obs_002,Tan et al,2015,0.601,0.367,0.521775814,0.493315315,90,90,ma14_02
obs_003,Tan et al,2015,0.601,0.3,0.521775814,0.464854816,90,90,ma14_02
obs_004,Tan et al,2015,0.706,0.534,0.151789328,0.474341649,90,90,ma14_02
obs_005,Tan et al,2015,0.706,0.519,0.151789328,0.493315315,90,90,ma14_02
obs_006,Tan et al,2015,0.487,0.375,0.493315315,0.474341649,90,90,ma14_02
obs_007,Tan et al,2015,0.487,0.295,0.493315315,0.483828482,90,90,ma14_02
obs_008,El Hassani et al ,2008,0.4796,0.41067,0.516397779,0.507092553,15,15,ma14_02
obs_009,El Hassani et al ,2008,0.4796,0.5151,0.516397779,0.516397779,15,16,ma14_02
obs_010,El Hassani et al ,2008,0.4796,0.3873,0.516397779,0.5,15,16,ma14_02
obs_011,El Hassani et al ,2008,0.4678,0.3426,0.516397779,0.487950036,15,15,ma14_02
obs_012,El Hassani et al ,2008,0.4678,0.38112,0.516397779,0.5,15,16,ma14_02
obs_013,El Hassani et al ,2008,0.4678,0.20446,0.516397779,0.403112887,15,16,ma14_02
obs_014,El Hassani et al ,2008,0.5416,0.0838,0.516397779,0.25819889,15,15,ma14_02
obs_015,El Hassani et al ,2008,0.5416,0.3252,0.516397779,0.478713554,15,16,ma14_02
obs_016,El Hassani et al ,2008,0.5416,0.217,0.516397779,0.403112887,15,16,ma14_02
obs_017,El Hassani et al ,2008,0.1364,0.2894,0.351865775,0.497245158,15,14,ma14_02
obs_018,El Hassani et al ,2008,0.1364,0.4376,0.351865775,0.513552591,15,14,ma14_02
obs_019,El Hassani et al ,2008,0.1364,0.3176,0.351865775,0.480384461,15,13,ma14_02
obs_020,El Hassani et al ,2008,0.46117,0.5035,0.516397779,0.518874522,15,14,ma14_02
obs_021,El Hassani et al ,2008,0.46117,0.4988,0.516397779,0.518874522,15,14,ma14_02
obs_022,El Hassani et al ,2008,0.46117,0.58588,0.516397779,0.506369684,15,13,ma14_02
obs_023,El Hassani et al ,2008,0.5505,0.3788,0.516397779,0.497245158,15,14,ma14_02
obs_024,El Hassani et al ,2008,0.5505,0.55294,0.516397779,0.513552591,15,14,ma14_02
obs_025,El Hassani et al ,2008,0.5505,0.5576,0.516397779,0.518874522,15,13,ma14_02
obs_026,Thany et al ,2015,0.95958,0.71565,0.806096198,0.989951022,90,90,ma14_02
obs_027,Thany et al ,2015,0.95958,0.86819,0.806096198,0.738929421,90,90,ma14_02
obs_028,Thany et al ,2015,0.93247,0.77352,0.470167443,0.973823405,90,90,ma14_02
obs_029,Thany et al ,2015,0.93247,0.80569,0.470167443,0.839584719,90,90,ma14_02
obs_030,Thany et al ,2015,0.78147,0.3358,1.07466844,0.503561095,90,90,ma14_02
obs_031,Thany et al ,2015,0.78147,0.61224,1.07466844,0.503655963,90,90,ma14_02
obs_032,Thany et al ,2015,0.86071,0.73618,0.617497959,0.842051295,90,90,ma14_02
obs_033,Thany et al ,2015,0.86071,0.60869,0.617497959,0.961111049,90,90,ma14_02
obs_034,Thany et al ,2015,0.81533,0.60202,0.757808218,0.97695406,90,90,ma14_02
obs_035,Thany et al ,2015,0.81533,0.39762,0.757808218,0.971261961,90,90,ma14_02
obs_036,Thany et al ,2015,0.71667,0.34956,0.926389241,0.952857505,90,90,ma14_02
obs_037,Thany et al ,2015,0.71667,0.31082,0.926389241,0.946026985,90,90,ma14_02
obs_038,Thany et al ,2015,0.77091,0.66684,1.016988496,0.98435379,90,90,ma14_02
obs_039,Thany et al ,2015,0.77091,0.55933,1.016988496,0.918515169,90,90,ma14_02
obs_040,Thany et al ,2015,0.81468,0.70714,0.99915325,0.994789306,90,90,ma14_02
obs_041,Thany et al ,2015,0.81468,0.69645,0.99915325,0.982361555,90,90,ma14_02
