obs_ID,study_ID,year,ntot,es,var,meta_ID,note,note2,research_aim
obs_001,AghighiBidgoli_2020,2020,NA,-0.100257644,0.020823268,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_002,AghighiBidgoli_2020,2020,NA,-0.039678484,0.011570003,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_003,AghighiBidgoli_2020,2020,NA,0.229382936,0.00310005,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_004,Berardo_2016,2016,NA,0.010854923,0.024763987,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_005,Bghagya_2017,2017,NA,-0.344585871,0.004032126,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_006,Bghagya_2017,2017,NA,-0.21663865,0.004688994,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_007,Blanco_2017,2017,NA,0.055182856,0.001169511,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_008,Castelhano-Carlos_2014,2014,NA,-0.022834487,0.001220481,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_009,Chen_2010,2010,NA,0.088466043,0.000506155,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_010,Chen_2010,2010,NA,0.099612821,0.001213755,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_011,Cordier_2021,2021,NA,-0.294048413,0.097323639,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_012,Cordier_2021,2021,NA,-0.752254312,0.121572382,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_013,Cordier_2021,2021,NA,-0.457691979,0.045068694,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_014,Cordier_2021,2021,NA,0.394101349,0.12392438,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_015,Cordier_2021,2021,NA,-0.430752548,0.047904605,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_016,Cordier_2021,2021,NA,0.473929479,0.036777761,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_017,Cordier_2021,2021,NA,-0.907216931,0.068897374,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_018,Cui_2006,2006,NA,-0.441808863,0.025379527,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_019,Cui_2006,2006,NA,0.730074213,0.098874739,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_020,Dandi_2018,2018,NA,0.142668785,0.024925,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_021,Dandi_2018,2018,NA,0.065463269,0.002455074,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_022,Dandi_2018,2018,NA,-0.445470443,0.022334671,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_023,Dandi_2018,2018,NA,0.039455207,0.003317595,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_024,doPrado_2016,2016,NA,-0.351287322,0.078418679,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_025,doPrado_2016,2016,NA,-0.290331081,0.049944875,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_026,Gaun_2021,2021,NA,0.371283169,0.005491088,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_027,Gaun_2021,2021,NA,-0.273153972,0.003637991,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_028,Gaun_2021,2021,NA,0.287682072,0.006530928,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_029,Gaun_2021,2021,NA,-0.111326136,0.002160995,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_030,Gonzales-Pardo_2019,2019,NA,0.088315231,0.00029368,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_031,Gonzales-Pardo_2019,2019,NA,-0.408839543,0.02561961,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_032,Grace_2009,2009,NA,-0.513566877,0.013276465,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_033,Grace_2009,2009,NA,0.214740141,0.11546545,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_034,Hui_2011,2011,NA,-0.652139157,0.003605132,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_035,Hui_2011,2011,NA,0.191179797,0.001200226,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_036,Lui_2011,2011,NA,0.070230911,0.001783359,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_037,Lui_2011,2011,NA,-0.223989022,0.047992311,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_038,Menezes_2020,2020,NA,0.147788964,0.007615957,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
