obs_ID,study_ID,year,es,var,meta_ID,note,note2,research_aim
obs_001,AghighiBidgoli_2020,2020,-0.808843171,0.069027252,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_002,AghighiBidgoli_2020,2020,-0.802892322,0.05013564,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_003,AghighiBidgoli_2020,2020,0.549449329,0.013234304,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_004,Berardo_2016,2016,-0.348107188,0.096468558,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_005,Bghagya_2017,2017,-0.586224246,0.015029051,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_006,Bghagya_2017,2017,-0.258618218,0.016768034,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_007,Blanco_2017,2017,-0.03056584,0.004758797,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_008,Castelhano-Carlos_2014,2014,0.018148306,0.004880469,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_009,Chen_2010,2010,0.150827223,0.001982105,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_010,Chen_2010,2010,0.154161101,0.004899778,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_011,Cordier_2021,2021,0.335238599,0.296720429,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_012,Cordier_2021,2021,-0.490211155,0.490502646,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_013,Cordier_2021,2021,-0.529221887,0.20691411,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_014,Cordier_2021,2021,-0.807098457,0.524782099,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_015,Cordier_2021,2021,-0.359366769,0.345464747,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_016,Cordier_2021,2021,-0.118615094,0.111840432,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_017,Cordier_2021,2021,-0.210820718,0.491933813,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_018,Cui_2006,2006,-0.620759616,0.096474432,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_019,Cui_2006,2006,1.387615426,1.606038513,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_020,Dandi_2018,2018,0.773707242,0.124183924,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_021,Dandi_2018,2018,-0.121756455,0.009917932,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_022,Dandi_2018,2018,-0.39622768,0.096152284,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_023,Dandi_2018,2018,0.293920501,0.012716071,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_024,doPrado_2016,2016,-0.849545611,0.284845979,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_025,doPrado_2016,2016,-0.739541061,0.205009229,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_026,Gaun_2021,2021,0.380765517,0.02451857,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_027,Gaun_2021,2021,-0.203866857,0.014210829,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_028,Gaun_2021,2021,0.28088724,0.030572932,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_029,Gaun_2021,2021,-0.607887863,0.008043072,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_030,Gonzales-Pardo_2019,2019,0.047855112,0.001164123,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_031,Gonzales-Pardo_2019,2019,0.145358129,0.102259957,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_032,Grace_2009,2009,0.111779086,0.052297618,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_033,Grace_2009,2009,-0.711349042,0.510061341,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_034,Hui_2011,2011,-0.921278273,0.016416135,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_035,Hui_2011,2011,0.234236699,0.004884764,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_036,Lui_2011,2011,0.070107812,0.007104057,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_037,Lui_2011,2011,-0.50317627,0.199776262,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_038,Menezes_2020,2020,-0.00751819,0.030966606,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_039,Menezes_2020,2020,0.10063109,0.089606267,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_040,Menezes_2020,2020,0.122631963,0.019792667,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_041,Menezes_2020,2020,-0.08653421,0.039778901,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_042,Menezes_2020,2020,0.80962347,0.14371561,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_043,Menezes_2020,2020,-0.297308703,0.540943524,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_044,Menezes_2020,2020,2.034248437,0.479435311,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_045,Menezes_2020,2020,0.003586647,0.068259025,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_046,Menezes_2020,2020,-0.575937047,0.280043057,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_047,Mitra_2009,2009,0.110949878,0.051936353,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_048,Mitra_2009,2009,0.037678857,0.060881904,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_049,Mitra_2009,2009,0.379272725,0.07555121,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_050,Mohammadian_2018,2018,-0.003919993,0.006419801,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_051,Mohammadian_2018,2018,0.08231584,0.006038971,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_052,Mohammadian_2018,2018,-0.558586409,0.195457899,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_053,Mohammadian_2018,2018,-0.458628614,0.221547718,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_054,Molina_1_2016,2016,0.111163065,0.093541181,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_055,Molina_1_2016,2016,0.295445169,0.285150723,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_056,Molina_2_2019,2019,0.067798014,0.220347981,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_057,Molina_2_2019,2019,0.001926767,0.202809595,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_058,Molina_2_2019,2019,0.391884091,0.380313034,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_059,Molina_2_2019,2019,-0.018439546,0.328924666,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_060,Molina_2_2019,2019,-0.156683482,0.027082583,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_061,Molina_2_2019,2019,-0.001469664,0.100443142,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_062,Molina_2_2019,2019,0.181352145,0.020500352,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_063,Molina_2_2019,2019,0.054884531,0.035301815,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_064,Molina_1_2016,2016,0.556896462,1.433350165,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_065,Molina_1_2016,2016,-0.508453288,0.045887167,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_066,Monteiro_2014,2014,1.447580433,37.20568368,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_067,Nawaz_2018,2018,0.000605515,0.009534708,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_068,Nawaz_2018,2018,0.038675589,0.006773144,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_069,Novaes_2021,2021,-0.507359294,0.032623559,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_070,Novaes_2021,2021,-0.436386313,0.027449392,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_071,Rule_2020,2020,-0.080377607,0.033788678,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_072,Rule_2020,2020,-0.434526927,0.034557582,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_073,Shilpa_2017,2017,-0.502183739,0.126952394,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_074,Shilpa_2017,2017,-0.538648129,0.110335703,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_075,Sun_2016,2016,0.368302308,0.0157982,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_076,vanderVeen_2015,2015,0.004304583,0.001762521,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_077,vanderVeen_2015,2015,0.04791985,0.002100174,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_078,vanderVeen_2015,2015,0.076117133,0.003131119,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_079,vanderVeen_2015,2015,-0.079268049,0.014630071,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_080,vanderVeen_2015,2015,-0.039596448,0.003332065,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_081,vanderVeen_2015,2015,0.149732614,0.008969324,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_082,Veena_2009,2009,-1.209972695,0.165622241,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_083,Veena_2009,2009,-0.667784571,0.143306079,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_084,Veena_2009,2009,0.216209095,0.003687214,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_085,Veena_2009,2009,0.13388523,0.006111812,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_086,Vivinetto_2013,2013,-0.017261842,0.008915942,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_087,Vivinetto_2013,2013,0.307010755,1.164789052,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_088,Vivinetto_2013,2013,0.445597941,0.036217871,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_089,Vivinetto_2013,2013,3.784189634,1.028171324,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_090,Zubedat_2015,2015,0.066983169,0.005111731,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_091,Zubedat_2015,2015,0.057972537,0.004297396,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
obs_092,Zubedat_2015,2015,0.043643327,0.005433279,ma22_03,interaction - enviromental enrichment and stress,this paper is also used in MA22_01 and MA22_02,human
