"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","vi","yi_zr","se_zr","vi_zr"
"Schrijver et al","Dissociable effects of isolation rearing and environmental enrichment on exploration, spatial learning and HPA activity in adult rats",2002,"Pharmacology Biochemistry and Behavior","Schwerzenbach, Switzerland","Mammalia","Rodentia","Rattus norvegicus","Other","Mammalia","Spatial Memory","Rearing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","f",36,1,"Developmental",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,1,32,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper80","study82","es426","text","218",NA,NA,0.0931348571207611,0.95,-0.246556352057566,0.402772115376414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0934055544285669,0.174077655955698,0.0303030303030303
"Ausas et al","Social isolation impairs active avoidance performance and decreases neurogenesis in the dorsomedial telencephalon of rainbow trout",2019,"Physiology and Behavior","San Carlos de Bariloche, Argentina","Actinopterygii","Salmoniformes","Oncorhynchus mykiss","Other","Other","Learning (Active Avoidance)","Social Isolation","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",9,1,"Developmental",NA,"yes",5,4,66.2011173184358,8.65921787709497,72.9050279329609,8.1005586592179,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper07","study08","es56","figure","8","4b","paper07_study08_es56_4b",0.367721021330564,NA,NA,NA,8.65921787709497,8.1005586592179,"",9.34739329589046,9,0.327080566965736,0.106981697286627,-0.77264244114255,0.249876345256226,-0.385785213457759,-1.02685134475354,0.255280917838024,"r",NA,0.385785213457759,0.408248290463863,0.166666666666667
"Ausas et al","Social isolation impairs active avoidance performance and decreases neurogenesis in the dorsomedial telencephalon of rainbow trout",2019,"Physiology and Behavior","San Carlos de Bariloche, Argentina","Actinopterygii","Salmoniformes","Oncorhynchus mykiss","Other","Other","Short Term Memory (Active Avoidance)","Social Isolation","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",9,1,"Developmental",NA,"yes",5,4,41.8994413407821,4.18994413407821,81.5642458100559,11.4525139664804,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper07","study08","es57","figure","8","4c","paper07_study08_es57_4c",0.924293292120697,NA,NA,NA,4.18994413407821,11.4525139664804,"",3.28883284210213,9,0.551415664997226,0.304059235604333,-0.990980171086276,-0.490690034982826,-1.61772364523557,-2.69847848914134,-0.536968801329807,"r",NA,1.61772364523557,0.408248290463863,0.166666666666667
"Ausas et al","Social isolation impairs active avoidance performance and decreases neurogenesis in the dorsomedial telencephalon of rainbow trout",2019,"Physiology and Behavior","San Carlos de Bariloche, Argentina","Actinopterygii","Salmoniformes","Oncorhynchus mykiss","Other","Other","Long Term Memory","Social Isolation","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",9,1,"Developmental",NA,"yes",5,4,48.7031700288184,6.62824207492795,89.6253602305475,6.91642651296831,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper07","study08","es58","figure","8","4ci","paper07_study08_es58_4ci",0.949031042175565,NA,NA,NA,6.62824207492795,6.91642651296831,"",2.62654076631431,9,0.617032340195079,0.380728908846616,-0.995354106861749,-0.545936648354999,-1.82193542465629,-3.03129658873511,-0.612574260577468,"r",NA,1.82193542465629,0.408248290463863,0.166666666666667
"Bannier et al","Early experience affects learning performance and neophobia in a cooperatively breeding cichlid",2017,"Ethology","Hinterkappelen, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Associative Learning","Rearing Group (Presence of Adults)","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",28,1,"Developmental",NA,"yes",14,14,0.268269230769231,0.147507646978588,0.199038461538462,0.133116657029458,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper08","study09","es59","figure","718","2a","paper08_study09_es59_2a",-0.239225102468683,NA,NA,NA,0.147507646978588,0.133116657029458,"",28.1751977452496,28,0.188393759853886,0.0354922087518837,-0.124641430082949,0.546373633119756,0.243952015019345,-0.125292969206359,0.61319699924505,"r",NA,-0.243952015019345,0.2,0.04
"Bannier et al","Early experience affects learning performance and neophobia in a cooperatively breeding cichlid",2017,"Ethology","Hinterkappelen, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Reversal Learning","Rearing Group (Presence of Adults)","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",24,1,"Developmental",NA,"yes",12,12,0.44636678200692,0.251716726359491,0.489965397923875,0.204969334321299,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper08","study09","es60","figure","718","2b","paper08_study09_es60_2b",0.0945456884249979,NA,NA,NA,0.251716726359491,0.204969334321299,"",24.8922517790062,24,0.200432391068103,0.0401731433892769,-0.452364539225669,0.289491670718867,-0.0948289201311015,-0.487669187959831,0.298011347697628,"r",NA,0.0948289201311014,0.218217890235992,0.0476190476190476
"Brenes et al","Differential effects of social and physical environmental enrichment on brain plasticity, cognition, and ultrasonic communication in rats",2016,"Journal of Comparative Neurology","Marburg, Germany","Mammalia","Rodentia","Rattus norvegicus","Other","Mammalia","Object Recognition","Social Housing","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",24,1,"Developmental",NA,"no",12,12,46.8992248062015,16.1121005355244,39.922480620155,10.7414003570163,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper15","study16","es70","figure","1595","3b","paper15_study16_es70_3b",0.246876651921781,NA,NA,NA,16.1121005355244,10.7414003570163,"",24.2456344586729,24,0.203087513992503,0.0412445383396553,-0.144932439057698,0.571756272564703,0.252084000836699,-0.145960212298382,0.65012821397178,"r",NA,0.252084000836699,0.218217890235992,0.0476190476190476
"Dalley et al","Specific abnormalities in serotonin release in the prefrontal cortex of isolation-reared rats measured during behavioural performance of a task assessing visuospatial attention and impulsivity",2002,"Psychopharmacology","Cambridge, UK","Mammalia","Rodentia","Rattus norvegicus","Other","Mammalia","5-CSRT (Attention)","Rearing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",20,1,"Developmental",NA,"yes",10,10,24.7,1.3,25.6,1.4,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper17","study18","es75","text","332",NA,NA,0.316032744249281,NA,NA,NA,1.3,1.4,"",19.9487345879299,20,0.22389393223629,0.0501284928922286,-0.644631116850651,0.111129672706537,-0.327233474228461,-0.766057517768641,0.11159056931172,"r",NA,0.327233474228461,0.242535625036333,0.0588235294117647
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Social Competence Aggression","Rearing Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Intra","Captive","mean",14,1,"Developmental",NA,"yes",7,7,2.17483660130719,1.39204562444902,2.88398692810458,1.36178376304795,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es569","figure","128","2c","paper104_study106_es569_2c",0.249364263339775,NA,NA,NA,1.39204562444902,1.36178376304795,"",14.5507546413784,14,0.262154454263596,0.0687249578902439,-0.646084401050459,0.253433403107528,-0.254734807616758,-0.768548096360159,0.259078481126643,"r",NA,0.254734807616758,0.301511344577764,0.0909090909090909
"Fischer et al","Rearing-Group Size Determines Social Competence and Brain Structure in a Cooperatively Breeding Cichlid",2015,"American Naturalist","Bern, Switzerland","Actinopterygii","Cichliformes","Neolamprologus pulcher","Other","Other","Hypothalamus","Rearing Group Size","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",12,1,"Developmental",NA,"no",8,4,0.00317406143344711,0.0118253352485122,-0.00638225255972695,0.00955631399317407,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper104","study106","es570","figure","131","3a","paper104_study106_es570_3a",0.373367352797546,NA,NA,NA,0.0118253352485122,0.00955631399317407,"",12.1009131350972,12,0.28746894046875,0.082638391734226,-0.169448249063629,0.742379179187375,0.392330222759958,-0.171098547232682,0.955758992752597,"r",NA,0.392330222759958,0.333333333333333,0.111111111111111
