"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","se","var","ci.lo","ci.hi","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Rehan et al","Cumulative effects of foraging behavior and social dominance on brain development in a facultatively social bee (Ceratina australensis)",2015,"Brain, Behavior and Evolution","New Hampshire, USA","Insecta","Hymenoptera","Ceratina australensis","Other","Other","Total Brain Volume","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Intra","Wild","D",24,1,"Intra",NA,"no",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288,0.1684,NA,NA,"SCOPUS",NA,NA,"paper72","study74","es387","figure",NA,"s2","paper72_study74_es387_s2",0.142529832933556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143506923281241,0.218217890235992,0.0476190476190476
"Rehan et al","Cumulative effects of foraging behavior and social dominance on brain development in a facultatively social bee (Ceratina australensis)",2015,"Brain, Behavior and Evolution","New Hampshire, USA","Insecta","Hymenoptera","Ceratina australensis","Other","Other","Mushroom Body Calyces","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","D",24,1,"Intra",NA,"no",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0752,0.1668,NA,NA,"SCOPUS",NA,NA,"paper72","study74","es388","figure","121","2","paper72_study74_es388_2",0.0375734494607534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0375911460689776,0.218217890235992,0.0476190476190476
"Kulahci et al","Knowledgeable Lemurs Become More Central in Social Networks",2018,"Current Biology","New Jersey, USA","Mammalia","Primates","Lemur catta","Primates","Mammalia","Innovation","Approach Outdegree","Cognitive Ability","Cognitive Ability","Socialinteraction","Intra","Wild","f",17,1,"Intra",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71,NA,1,16,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper40","study41","es207","text","1307",NA,NA,0.593707731887053,0.95,0.174351186914281,0.78813451518333,NA,NA,NA,NA,NA,NA,NA,NA,0.683372857284368,0.267261241912424,0.0714285714285714
"Kulahci et al","Knowledgeable Lemurs Become More Central in Social Networks",2018,"Current Biology","New Jersey, USA","Mammalia","Primates","Lemur catta","Primates","Mammalia","Innovation","Approach Outdegree","Cognitive Ability","Cognitive Ability","Socialinteraction","Intra","Wild","f",21,1,"Intra",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.339,NA,1,20,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper40","study41","es208","text","1307",NA,NA,0.54245626118588,0.95,0.155861406305745,0.746021740327258,NA,NA,NA,NA,NA,NA,NA,NA,0.607629457735598,0.235702260395516,0.0555555555555556
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Endocranial Volume","Sex","Neuroanatomy","brain size absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,232257.54,10538.41,252464.38,22155.7,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es26","table","282","1",NA,NA,NA,NA,NA,10538.41,NA,NA,NA,NA,1,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Anterior Cerebrum Volume","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,36173.4,5924.53,26511.25,6619.6,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es27","table","282","1",NA,NA,NA,NA,NA,5924.53,NA,NA,NA,NA,2,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Posterior Cerebrum Volume","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,136756.6,15101.13,165082.3,12421.1,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es28","table","282","1",NA,NA,NA,NA,NA,15101.13,NA,NA,NA,NA,3,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Cerebellum & Brain Stem Volume","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,46767.36,2628.64,52059.72,5298.1,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es29","table","282","1",NA,NA,NA,NA,NA,2628.64,NA,NA,NA,NA,4,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Neocortical Surface (AC)","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,5068.3,1566.17,4030.6,1328.99,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es30","table","282","1",NA,NA,NA,NA,NA,1566.17,NA,NA,NA,NA,5,NA,NA,NA,0.301511344577764,0.0909090909090909
"Arsznov & Sakai","Pride diaries: Sex, brain size and sociality in the African lion (Panthera leo) and cougar (Puma concolor)",2012,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Panthera leo","Other","Mammalia","Neocortical Surface (PC)","Sex","Neuroanatomy","brain region absolute","Broadsociality","Intra","Unknown","mean",14,1,"Intra",NA,"no",6,8,17060.52,2411.01,20358.11,1531.65,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper03","study03","es31","table","282","1",NA,NA,NA,NA,NA,2411.01,NA,NA,NA,NA,6,NA,NA,NA,0.301511344577764,0.0909090909090909
