analysis,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
B1 correction sensitivity,meta-analysis,power,uncorrected,48,0.8220737046105893,0.7171736480520882,0.9423173559816781,0.7171736480520882,1.1371850969144004,0.710038425457268,0.8857097503950125,0.0539316785204883,0.3623751639861593,0.9129258088815501,0.9998999782868563,1,16,NA
B1 correction sensitivity,meta-analysis,type_M,uncorrected,48,1.1073891194722347,1.0237584733648963,1.1978515380633141,1.0237584733648963,1.2951953243332128,1.7893541666666666,1.1749871080139374,0.998,1.001,1.0495,1.6465,12.689,44,NA
B1 correction sensitivity,meta-analysis,type_S,uncorrected,48,5.830502574538377e-4,-7.099687873945333e-4,0.001944899936388543,0,0.004250358270253073,0.013462737114737378,0.001625697414195957,7.970070141940813e-93,1.1008920415043813e-14,7.223375990578843e-8,5.279446924038867e-4,0.2962281539428636,0,NA
B1 correction sensitivity,primary-study,power,uncorrected,5740,0.17153779868105995,0.16427594060972675,0.1791206689618041,0.16427594060972675,0.23104841916222174,0.22664490670695409,NA,0.05000645922206981,0.09185026465630813,0.13577740746176875,0.26135497577915895,1,69,study
B1 correction sensitivity,primary-study,type_M,uncorrected,5740,2.857181592380678,2.764568627848487,2.952897088393925,2.764568627848487,3.482048297801396,3.8549203832752617,NA,0.996,1.9427500000000002,2.9074999999999998,4.04025,312.815,5730,study
B1 correction sensitivity,primary-study,type_S,uncorrected,5740,0.026914000083800918,0.024972145604911566,0.028931312575780105,0.024972145604911566,0.043794157427432485,0.049893905409411514,NA,0,0.0019919124967934733,0.018302348059628173,0.057336105038322434,0.49122343371856075,0,study
B1 correction sensitivity,meta-analysis,power,corrected_error_model,48,0.32516079796378894,0.2275922520763543,0.4645568711933878,0.2275922520763543,0.5754013822563706,0.6552847148641862,0.5649548865346796,0.05000003450386037,0.21407358725220857,0.9649638345116438,0.9999999999217197,1,20,NA
B1 correction sensitivity,meta-analysis,type_M,corrected_error_model,48,2.1843985545423346,1.6041617834786166,2.974511108685969,1.6041617834786166,5.776505136136266,92.00416666666666,30.56667961672474,0.998,1.00075,1.0205,2.1734999999999998,4261.237,47,NA
B1 correction sensitivity,meta-analysis,type_S,corrected_error_model,48,0.02335295153108429,0.01161605331451547,0.03885199141166166,0.01161605331451547,0.04117757383128646,0.03630132014020773,0.05607343940454371,0,3.414172221721399e-25,5.169782802524159e-9,0.004167879330135742,0.4993584751387011,0,NA
B1 correction sensitivity,primary-study,power,corrected_error_model,5740,0.15985050015984031,0.15167802144386547,0.1684633156347422,0.15167802144386547,0.23246559030900968,0.17855095837182708,NA,0.05000000090330303,0.05174775254491337,0.08677766396098258,0.18164174931459107,1,66,study
