paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA26,1,459,meta-analysis,power,corrected,0.4666367048628181,0.3903771039959561,0.07625960086686201,19.534854909844302
MA31,1,734,meta-analysis,power,corrected,0.3400839434486713,0.3903771039959561,-0.050293160547284776,-12.883224972078732
MA08,1,531,meta-analysis,power,corrected,0.36342376831560325,0.3903771039959561,-0.026953335680352852,-6.904435584068491
MA34,1,555,meta-analysis,power,corrected,0.37098453057196507,0.3903771039959561,-0.019392573423991033,-4.967651336486146
MA41,4,527,meta-analysis,power,corrected,0.4084106302025797,0.3903771039959561,0.01803352620662363,4.619514316293105
MA14,2,271,meta-analysis,power,corrected,0.3727842231188455,0.3903771039959561,-0.017592880877110584,-4.506637478742304
MA09,1,1297,meta-analysis,power,corrected,0.3805950253088695,0.3903771039959561,-0.009782078687086582,-2.505802360577969
MA22,3,276,meta-analysis,power,corrected,0.3992239815331567,0.3903771039959561,0.008846877537200593,2.2662388358955177
MA39,2,52,meta-analysis,power,corrected,0.3976827795348755,0.3903771039959561,0.0073056755389194206,1.8714405799257872
MA47,2,103,meta-analysis,power,corrected,0.3969326021065105,0.3903771039959561,0.006555498110554392,1.6792732062027582
MA24,1,139,meta-analysis,power,corrected,0.38542197019824387,0.3903771039959561,-0.00495513379771223,-1.2693197800257128
MA06,2,46,meta-analysis,power,corrected,0.39513703645340525,0.3903771039959561,0.004759932457449156,1.2193165041509468
MA13,3,94,meta-analysis,power,corrected,0.39506274025105903,0.3903771039959561,0.004685636255102932,1.2002845984408594
MA12,1,70,meta-analysis,power,corrected,0.3860236216032989,0.3903771039959561,-0.004353482392657204,-1.1151992132976907
MA28,2,168,meta-analysis,power,corrected,0.38693676670322763,0.3903771039959561,-0.003440337292728468,-0.8812856229304167
MA10,1,32,meta-analysis,power,corrected,0.3935664042205523,0.3903771039959561,0.003189300224596181,0.8169793238256062
MA20,1,29,meta-analysis,power,corrected,0.3935083608287051,0.3903771039959561,0.0031312568327490076,0.8021107797299143
MA01,3,52,meta-analysis,power,corrected,0.3934155268636787,0.3903771039959561,0.003038422867722601,0.7783301931954645
MA17,1,66,meta-analysis,power,corrected,0.3932675926412581,0.3903771039959561,0.002890488645302003,0.7404349834338575
MA23,1,24,meta-analysis,power,corrected,0.3927166426445305,0.3903771039959561,0.0023395386485743908,0.5993022194761277
MA45,2,39,meta-analysis,power,corrected,0.3886260399958909,0.3903771039959561,-0.0017510640000651945,-0.44855704449391354
MA25,1,43,meta-analysis,power,corrected,0.3921268077487979,0.3903771039959561,0.0017497037528417803,0.4482086000771046
MA15,4,36,meta-analysis,power,corrected,0.39188323296001615,0.3903771039959561,0.0015061289640600495,0.38581385758618136
MA43,1,13,meta-analysis,power,corrected,0.3916848365445692,0.3903771039959561,0.0013077325486131053,0.3349921230592079
MA18,1,23,meta-analysis,power,corrected,0.3890753604768276,0.3903771039959561,-0.0013017435191284843,-0.3334579579088115
MA21,1,11,meta-analysis,power,corrected,0.3912743024085345,0.3903771039959561,8.971984125784038e-4,0.2298286460436616
MA32,1,13,meta-analysis,power,corrected,0.38954908036461183,0.3903771039959561,-8.280236313442657e-4,-0.21210865669848422
MA05,3,37,meta-analysis,power,corrected,0.39077099818888816,0.3903771039959561,3.9389419293206496e-4,0.10090094652071002
MA22,3,276,meta-analysis,power,uncorrected,0.8729313679216231,0.8220737046105893,0.05085766331103381,6.186508949963887
