paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA26,1,459,meta-analysis,power,corrected,0.4666367048628181,0.3903771039959561,0.07625960086686201,19.534854909844302
MA22,3,276,meta-analysis,power,uncorrected,0.8729313679216231,0.8220737046105893,0.05085766331103381,6.186508949963887
MA26,1,459,meta-analysis,type_M,corrected,1.5979337486396585,2.1798724903359523,-0.5819387416962938,-26.69599915940991
MA09,1,1297,meta-analysis,type_M,uncorrected,1.142947231895845,1.108706281623009,0.0342409502728358,3.088369827102566
MA26,1,459,meta-analysis,type_S,corrected,0.0047552915962028215,0.012225245985474795,-0.007469954389271973,-61.1026919061364
MA39,2,52,meta-analysis,type_S,uncorrected,3.6989004502893663e-4,5.830502574538377e-4,-2.1316021242490102e-4,-36.55949203345953
MA08,1,531,primary-study,power,corrected,0.09315020286124892,0.08774295651913867,0.005407246342110247,6.162598750511461
MA31,1,734,primary-study,power,uncorrected,0.18883081019472264,0.17153779868105995,0.017293011513662693,10.08116674378896
MA26,1,459,primary-study,type_M,corrected,6.243402905555727,8.123781913774943,-1.880379008219216,-23.146596353488825
MA31,1,734,primary-study,type_M,uncorrected,2.725809837230708,2.857551324615444,-0.131741487384736,-4.610292954316931
MA31,1,734,primary-study,type_S,corrected,0.12380568628558156,0.10431253331335777,0.019493152972223787,18.687258714794908
MA31,1,734,primary-study,type_S,uncorrected,0.024627039516755468,0.026914000083800918,-0.00228696056704545,-8.497289737403001
