es_type,level,metric,scenario_label,grouping,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound
lnRR,primary-study,power,baseline,study,1602,0.18594084286140808,0.1630311690023033,0.21206985912934473,0.1630311690023033,0.290255400365661,0.27513540773363265,NA,0.05000645922206981,0.07611886910140875,0.1385422647848762,0.3773418494812534,1,55
lnRR,primary-study,type_M,baseline,study,1602,3.019797685545086,2.6922990009713597,3.387134214414273,2.6922990009713597,4.280769323474266,4.95629900124844,NA,0.997,1.613,2.8555,5.057,310.618,1595
lnRR,primary-study,type_S,baseline,study,1602,0.032995978051365504,0.026422850449172447,0.04040931591217536,0.026422850449172447,0.06380509285175812,0.07117174297522674,NA,0,4.103740478092309e-4,0.017214874444317,0.09808200535513463,0.49122343371856075,0
lnRR,primary-study,power,optimistic_CI_limit,study,1602,0.28314311509061463,0.2499804753155777,0.32070514115956317,0.2499804753155777,0.4466770084472408,0.3903117291630341,NA,0.05004425589496664,0.11016140255154111,0.24504533759250996,0.6729400483479854,1,103
lnRR,primary-study,type_M,optimistic_CI_limit,study,1602,2.1228835515905833,1.945453641545304,2.316495483302372,1.945453641545304,2.6748354614290295,3.015616729088639,NA,0.996,1.2232500000000002,2.013,3.4235,118.387,1586
lnRR,primary-study,type_S,optimistic_CI_limit,study,1602,0.015606063791394627,0.012265545747214203,0.019246028967764957,0.012265545747214203,0.02786931077606391,0.03465525991706399,NA,0,9.318411074422245e-6,0.002545683372728898,0.034008612441589724,0.4770409037236672,0
SMD,primary-study,power,baseline,study,2835,0.16965689563889821,0.16125432196045816,0.17849730715984227,0.16125432196045816,0.211702403892727,0.19205872225465787,NA,0.050260990905542036,0.09397706584689569,0.12311336650300886,0.19253980253069225,0.9993350437393466,1
SMD,primary-study,type_M,baseline,study,2835,2.7888031409415386,2.6909696337664215,2.8901935054687717,2.6909696337664215,3.151447006424064,3.459821869488536,NA,0.998,2.3045,3.122,3.945,49.252,2834
SMD,primary-study,type_S,baseline,study,2835,0.025111338542449277,0.023056572362093082,0.02725396084421429,0.023056572362093082,0.036476181626423694,0.0432659531755563,NA,5.044695016444795e-13,0.0059998965382928125,0.024545455568959103,0.053711048497671235,0.44443963964127026,0
SMD,primary-study,power,optimistic_CI_limit,study,2835,0.26334722143523526,0.24998216083304428,0.2774268324049604,0.24998216083304428,0.3410546489998238,0.29728333799852596,NA,0.052406054837595306,0.13222791001107154,0.18691124961077588,0.37051919202184336,0.9999999999943519,26
SMD,primary-study,type_M,optimistic_CI_limit,study,2835,2.04034791458551,1.9808341382336803,2.1016497707706234,1.9808341382336803,2.2341500354066905,2.4389700176366844,NA,0.996,1.626,2.348,2.9555,16.127,2827
SMD,primary-study,type_S,optimistic_CI_limit,study,2835,0.009795694180507464,0.008896542132696125,0.010718697463702007,0.008896542132696125,0.013264584208686113,0.016353066355339587,NA,4.624386976012431e-27,4.479450472787297e-4,0.006629811749173254,0.019828020479494418,0.33688705621779724,0
Zr,primary-study,power,baseline,study,1303,0.17851003422911507,0.15969444426823162,0.19954252301323783,0.15969444426823162,0.23193198315991778,0.24227809955232704,NA,0.05003030697720823,0.11364665033206256,0.16471513985325126,0.2830564782701578,1,13
Zr,primary-study,type_M,baseline,study,1303,2.8724029449181416,2.6206414150401844,3.1483508696087283,2.6206414150401844,3.399144614675371,3.357437452033768,NA,0.997,1.8635000000000002,2.547,3.3040000000000003,143.458,1299
Zr,primary-study,type_S,baseline,study,1303,0.027635778525889797,0.022305212688163767,0.0335670166898908,0.022305212688163767,0.04255675695020333,0.03815418845050413,NA,7.876128335706298e-43,0.0014538538566782758,0.01002809001998573,0.031059326464489966,0.4809962888657446,0
Zr,primary-study,power,optimistic_CI_limit,study,1303,0.33328494318309193,0.3003751187851826,0.3698004475264025,0.3003751187851826,0.42787982068741415,0.41430360667598715,NA,0.05031826898620806,0.2126284242319746,0.3610208806116503,0.5855230561963913,1,24
Zr,primary-study,type_M,optimistic_CI_limit,study,1303,1.8191383950105189,1.7045783501182254,1.9413977069296486,1.7045783501182254,2.002089962806879,2.0286753645433615,NA,0.998,1.302,1.644,2.1814999999999998,44.646,1300
Zr,primary-study,type_S,optimistic_CI_limit,study,1303,0.007842654999344764,0.005764764334260406,0.010060888999067846,0.005764764334260406,0.011245320375162356,0.011190160052906451,NA,7.181383888207986e-75,3.018890756815021e-5,5.064141928706155e-4,0.004260417344744038,0.43870148998162717,0
