es_type,assumed_mu,kind,level,metric,scenario_label,grouping,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound
SMD,0.2,Cohen convention,primary-study,power,small (d=0.2),study,2835,0.0759319924418715,0.0746781242716828,0.0772069134358094,0.0746781242716828,0.07992475930601256,0.08548309662877092,NA,0.050223758891423276,0.06628558110222205,0.07309286263157366,0.08375890028908817,0.5160052739761751,0
SMD,0.2,Cohen convention,primary-study,type_M,small (d=0.2),study,2835,5.422344378909566,5.313828465099458,5.533076341586773,5.313828465099458,5.766625833216868,5.459161904761905,NA,1.39,4.459,5.35,6.3149999999999995,53.144,2835
SMD,0.2,Cohen convention,primary-study,type_S,small (d=0.2),study,2835,0.10640782018460718,0.1025404701984354,0.11039243801440751,0.1025404701984354,0.12650827522726135,0.11077961490939132,NA,7.263595109056949e-5,0.07457262092077047,0.1103079780061533,0.14731698215157493,0.44852426524021494,0
SMD,0.5,Cohen convention,primary-study,power,medium (d=0.5),study,2835,0.20165840141426256,0.19582068190970414,0.20767015242908612,0.19582068190970414,0.2305754945451284,0.2558350135255631,NA,0.05139949358941276,0.15533075980143274,0.20018685119586732,0.26973266061086615,0.9988172507035045,0
SMD,0.5,Cohen convention,primary-study,type_M,medium (d=0.5),study,2835,2.3043098903029415,2.2632169168747227,2.346148984199146,2.2632169168747227,2.413838821579085,2.3106239858906523,NA,1,1.912,2.255,2.637,21.367,2835
SMD,0.5,Cohen convention,primary-study,type_S,medium (d=0.5),study,2835,0.008985698609107487,0.008317534282400403,0.009667262593895498,0.008317534282400403,0.010621025094693398,0.010169243809006509,NA,1.7038138812921882e-12,0.0017613949077901674,0.005253892490124404,0.012081137241822216,0.37364511395427835,0
SMD,0.8,Cohen convention,primary-study,power,large (d=0.8),study,2835,0.4081760559911128,0.3969843434501642,0.419683283316626,0.3969843434501642,0.4529276399103281,0.480994281474592,NA,0.05358741251267929,0.3234611738010744,0.43040826185537695,0.5761024744212344,0.9999999992296009,62
SMD,0.8,Cohen convention,primary-study,type_M,large (d=0.8),study,2835,1.5640521651473385,1.5411309131857922,1.5873143250661452,1.5411309131857922,1.609648130932252,1.5641495590828922,NA,0.994,1.315,1.513,1.737,13.179,2824
SMD,0.8,Cohen convention,primary-study,type_S,large (d=0.8),study,2835,0.001272888325386884,0.0010371242598406945,0.0015107872155799146,0.0010371242598406945,0.00153784194431315,0.0015535182980080495,NA,1.1407267436927067e-23,3.407108017666418e-5,2.1009363748341982e-4,8.314730999441406e-4,0.30435481966938865,0
Zr,0.10033534773107558,"Cohen convention, atanh-converted",primary-study,power,small (r=0.1),study,1303,0.08595656929376275,0.0821429021318623,0.08994729444660696,0.0821429021318623,0.09346178361455743,0.10248404789196036,NA,0.050045669071792864,0.06982604333964215,0.08406067103391734,0.11422590828060808,0.6116556655315465,0
Zr,0.10033534773107558,"Cohen convention, atanh-converted",primary-study,type_M,small (r=0.1),study,1303,4.9216810128321145,4.630131250221435,5.231589059362776,4.630131250221435,5.5280218207368454,5.194042977743669,NA,1.276,3.3129999999999997,4.449,5.7525,117.513,1303
Zr,0.10033534773107558,"Cohen convention, atanh-converted",primary-study,type_S,small (r=0.1),study,1303,0.08094765394050998,0.07250605763685544,0.09012008225482043,0.07250605763685544,0.10853084567898452,0.09205822854789643,NA,2.1481338517293186e-5,0.0306014072686878,0.07381154055356735,0.1261197969590719,0.4766777523395103,0
Zr,0.30951960420311175,"Cohen convention, atanh-converted",primary-study,power,medium (r=0.3),study,1303,0.3287059698924176,0.30213692089093475,0.3576114243976093,0.30213692089093475,0.40833260416742373,0.44544695172678156,NA,0.05043470418262952,0.24766220725920296,0.3848472728085569,0.6234526709302634,0.9999996495331469,4
Zr,0.30951960420311175,"Cohen convention, atanh-converted",primary-study,type_M,medium (r=0.3),study,1303,1.7956227352633884,1.7046889521290594,1.891407229082968,1.7046889521290594,1.9402388614487756,1.8607352264006138,NA,0.999,1.269,1.594,2.0035,37.648,1303
Zr,0.30951960420311175,"Cohen convention, atanh-converted",primary-study,type_S,medium (r=0.3),study,1303,0.0053535151296256085,0.003799324814120264,0.0069915792009360295,0.003799324814120264,0.00760024195511913,0.007790357284407688,NA,3.3121237990336963e-19,1.8373674644161674e-5,3.728488962587353e-4,0.0024459806680395394,0.4284945806797475,0
Zr,0.5493061443340549,"Cohen convention, atanh-converted",primary-study,power,large (r=0.5),study,1303,0.650084947447648,0.6066553989683194,0.6966235520473472,0.6066553989683194,0.7379442426691903,0.7632688758763034,NA,0.05136991395356805,0.6197844307617325,0.840894727093816,0.9810805357017296,1,183
Zr,0.5493061443340549,"Cohen convention, atanh-converted",primary-study,type_M,large (r=0.5),study,1303,1.2507027686672911,1.2040226218114174,1.2991927121756626,1.2040226218114174,1.2985733914233983,1.271907137375288,NA,0.995,1.012,1.095,1.2715,21.219,1269
Zr,0.5493061443340549,"Cohen convention, atanh-converted",primary-study,type_S,large (r=0.5),study,1303,0.0011476916187616974,4.910003279396565e-4,0.0018213003881406287,4.910003279396565e-4,0.0015155654267159056,0.0015415332045053691,NA,2.483955070154267e-46,1.027371233036393e-9,5.196995068172923e-7,1.9292282815055016e-5,0.37492960556214,0
lnRR,0.09531017980432493,reference scenario (not a convention),primary-study,power,10% change,study,1602,0.115119289913148,0.1028899670047299,0.12880216891796842,0.1028899670047299,0.15482067965685967,0.15404175814083443,NA,0.050016731056638064,0.05785778791425472,0.07520843409901318,0.13990515368394052,1,8
lnRR,0.09531017980432493,reference scenario (not a convention),primary-study,type_M,10% change,study,1602,4.602243868030265,4.11952676033553,5.141524707342123,4.11952676033553,6.450889874781711,7.312443820224719,NA,0.997,2.831,5.1385000000000005,9.018749999999999,194.337,1600
