scenario_label,case,es_type,paper,power_min,power_q1,power_median,power_q3,power_max,power_mean,type_M_min,type_M_q1,type_M_median,type_M_q3,type_M_max,type_M_mean,type_S_min,type_S_q1,type_S_median,type_S_q3,type_S_max,type_S_mean,n_rows
corrected,MA01_01.csv,SMD,MA01,0.06092695390024683,0.0648566890463852,0.06894737881709878,0.07337427075385528,0.08362747495668965,0.06946558195167167,4.526,5.3205,5.871,6.67225,7.722,6.002909090909091,0.07490743868000103,0.10908210434336477,0.13094149329753346,0.15754551441955067,0.1915381657698038,0.13388641200212084,22
corrected,MA01_02.csv,SMD,MA01,0.05021113814256961,0.05027527406996948,0.050345396440560186,0.050394258616858284,0.05052938488443992,0.05034953278490238,34.744,40.196,42.798,47.65875,54.353,43.43564285714286,0.4212101686469035,0.4318662968373133,0.4361711063677699,0.4429542813256827,0.44998687996375025,0.4362829590192297,14
corrected,MA01_03.csv,SMD,MA01,0.061253988641864376,0.07029287738464562,0.07881684292066649,0.08419761659382885,0.08500142625481699,0.0765196562891117,4.403,4.44075,4.8345,5.7082500000000005,7.531,5.2225,0.07150591546813197,0.07346965843507389,0.08875227140142744,0.12371194445494493,0.18826535821948726,0.10383281339397453,16
corrected,MA05_01.csv,SMD,MA05,0.07150036562640161,0.08685401079080046,0.09680228811667912,0.10362285665677495,0.1092354283541519,0.09327275754969219,3.424,3.599,3.843,4.299,5.545,4.127058823529412,0.03485229964210576,0.04059248858131808,0.04935191246533011,0.06724419983292818,0.11763307146669127,0.061893561717593124,17
corrected,MA05_02.csv,SMD,MA05,0.15506838934870704,0.41876733516145875,0.5412007962276437,0.6588320963972357,0.8607174507085684,0.5263517274599461,1.079,1.2317500000000001,1.3519999999999999,1.5372500000000002,2.64,1.4699375000000001,3.270873279287601e-7,1.1781583697142623e-5,5.339662627165819e-5,2.653854053760522e-4,0.012145557959234691,0.0010098022465906008,16
corrected,MA05_03.csv,SMD,MA05,0.6348634721694678,0.6864570028167299,0.7320278043919377,0.7668526083028179,0.7862081459570976,0.7212818067276102,1.134,1.1475,1.1755,1.21375,1.258,1.18575,1.5504062471020172e-6,2.2126950616121043e-6,4.199334756051138e-6,8.415770797213498e-6,1.5767448651893567e-5,6.4291311027744655e-6,4
corrected,MA06_01.csv,SMD,MA06,0.064742880612357,0.07060686349999479,0.07346190097015948,0.07601998892695083,0.14769251238968184,0.07664984598431972,2.711,5.129,5.331,5.66,6.604,5.273333333333333,0.014141929280230585,0.09845037099240374,0.10870435251696138,0.12205465346177051,0.15826782479149332,0.10677663044497461,33
corrected,MA06_02.csv,SMD,MA06,0.05157661654841572,0.051976267398577414,0.05234279338325365,0.05443706265076309,0.05766574542399683,0.053652030227963846,9.212,12.011,16.231,17.791,20.083,14.887538461538462,0.23020931125207492,0.28513346741799156,0.33888953315292036,0.3511903720823624,0.366258223138298,0.3129846538625448,13
corrected,MA08.csv,SMD,MA08,0.05138518070373632,0.056030665828685766,0.058277076520042326,0.06103545373044006,0.15370682059423346,0.060597439905031705,2.667,7.603,8.798,10.269,21.212,9.071231638418078,0.0124866989533445,0.19044210799919017,0.22198288275779554,0.25519042300813244,0.3742647112548224,0.21921690142488526,531
corrected,MA09.csv,lnRR,MA09,0.05000854405041111,0.05366069703617704,0.06166177204821477,0.08980884823225821,1,0.10029555423323674,0.999,4.123,7.433,13.169,271.485,10.57653199691596,1.6970934270344427e-72,0.061130043602072824,0.18431023876462016,0.30258246629879343,0.4899062675210307,0.18700472304705845,1297
corrected,MA10.csv,SMD,MA10,0.05167683763273634,0.0539628099269642,0.05600714838531412,0.05847627748178752,0.07742606624267045,0.057678397074936265,4.894,8.65425,10.2785,12.7835,19.502,10.63628125,0.093389339634869,0.21942480363298533,0.25563554145865514,0.29559575349527395,0.3622881725590538,0.24846601024398388,32
corrected,MA12.csv,SMD,MA12,0.08417931608944673,0.1471586034760599,0.1598458816454883,0.17947660255210085,0.40877827264649924,0.1643587466937131,1.548,2.42225,2.588,2.7390000000000003,4.416,2.622357142857143,0.00027543305204754613,0.007586872826925692,0.011035206849446885,0.01430155712962924,0.07351521988617181,0.012786559978648148,70
corrected,MA13_01.csv,SMD,MA13,0.05149549666911546,0.1184234044500228,0.15043737592378192,0.2220230013151563,0.48792820595265163,0.17895488134983717,1.428,2.1155,2.703,3.21,20.516,3.534255813953488,1.0292013861656675e-4,0.003656381133798649,0.013355038843790079,0.027565496232557187,0.3695791806775373,0.03866432860670084,43
corrected,MA13_02.csv,SMD,MA13,0.08040638830838354,0.10892102876348486,0.12263440842778683,0.16777647868546441,0.3180307506484068,0.14602913492739214,1.756,2.508,3.128,3.429,4.665,3.0273513513513515,8.94762958364079e-4,0.009451794748763039,0.024830667142137167,0.035144912107494077,0.0838022213403241,0.02560291457178541,37
corrected,MA13_03.csv,SMD,MA13,0.0500856569033169,0.05025663014590934,0.050353699495208126,0.05048518643914282,0.05069950202090978,0.050370113692026076,29.966,35.82525,42.322,49.488249999999994,85.902,45.12435714285714,0.4096764834952988,0.4245185520883343,0.4355006882956145,0.4449686235906212,0.4680802065593695,0.43564470461871735,14
corrected,MA14_01.csv,SMD,MA14,0.10150169336494053,0.1426425499048797,0.19167683364303872,0.28638380497727745,0.5776980555609761,0.230097373773261,1.309,1.85625,2.311,2.8,3.611,2.320576923076923,3.338194786317187e-5,0.0013867410959924223,0.006092822378484075,0.015744816991708953,0.043081039658632685,0.00965323944054104,104
corrected,MA14_02.csv,SMD,MA14,0.0926129692460197,0.13035523530002507,0.17811757971099762,0.26544853266880464,0.5316056282795949,0.2150521010570501,1.368,1.9249999999999998,2.417,2.991,3.996,2.4792994011976046,5.9789744958169865e-5,0.0018767921467876996,0.007779215970640233,0.020697739827716638,0.05599956694587155,0.013593240311955346,167
