aggregation,weighting,se_source,crit_value_method,clustering_unit,metric,scenario,grouping,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,scenario_family,convention_status,verification_status
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,uncorrected pooled mean,all metrics,0.17153779868105995,0.16427594060972675,0.1791206689618041,0.13577740746176875,0.09185026465630813,0.26135497577915895,0.05000645922206981,1,0.22664490670695409,NA,5740,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,uncorrected pooled mean,all metrics,2.85744698983048,2.7648033515931987,2.953194951455135,2.8974353822463295,1.9437191890688061,4.034184529413617,1,311.32915038097394,3.854763935328764,NA,5740,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,uncorrected pooled mean,all metrics,0.026914000083800918,0.024972145604911566,0.028931312575780105,0.018302348059628173,0.0019919124967934733,0.057336105038322434,0,0.49122343371856075,0.049893905409411514,NA,5740,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,optimistic (95% CI limit farther from zero),all metrics,0.2733513353186978,0.2616977887689242,0.2855238207094399,0.2247001914723165,0.13341364739670303,0.5118045353621155,0.05004425589496664,1,0.3498110196592008,NA,5740,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,optimistic (95% CI limit farther from zero),all metrics,2.0340927670835827,1.9812880923676768,2.088304775585319,2.111372311674425,1.3916435944939558,2.93440444361606,1,118.945476110265,2.5067804534833558,NA,5740,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,optimistic (95% CI limit farther from zero),all metrics,0.010516221122228102,0.009628045450718402,0.011427177635485994,0.0034999978773841353,7.653456825753914e-5,0.019301254181090195,0,0.4770409037236672,0.020289102448338224,NA,5740,TRUE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,small (d = 0.2),SMD,0.0759319924418715,0.0746781242716828,0.0772069134358094,0.07309286263157366,0.06628558110222205,0.08375890028908817,0.050223758891423276,0.5160052739761751,0.08548309662877092,NA,2835,FALSE,external,Cohen convention,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,small (d = 0.2),SMD,5.422736493114746,5.314159892656257,5.5335314833855955,5.346245163256675,4.46322238744558,6.323755026684705,1.386265146567101,52.912113545162924,5.459260810626403,NA,2835,FALSE,external,Cohen convention,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,small (d = 0.2),SMD,0.10640782018460718,0.1025404701984354,0.11039243801440751,0.1103079780061533,0.07457262092077047,0.14731698215157493,7.263595109056949e-5,0.44852426524021494,0.11077961490939132,NA,2835,FALSE,external,Cohen convention,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,medium (d = 0.5),SMD,0.20165840141426256,0.19582068190970414,0.20767015242908612,0.20018685119586732,0.15533075980143274,0.26973266061086615,0.05139949358941276,0.9988172507035045,0.2558350135255631,NA,2835,FALSE,external,Cohen convention,single_derivation_migrated_from_audit_pipeline
