checked_on,area,quantity,n_checked,route_a,route_b,max_abs_diff,criterion,statistic,tolerance,passed,note
2026-08-15,upstream,beta0_c3 reproduced from its own inputs,48,01_reproduce_original_analysis.R,gate rule re-expressed here,0,max relative difference,0,1e-12,TRUE,
2026-08-15,metric definitions,"power, closed form vs 4e+06-draw simulation",11,00_revision_functions.R closed form,Monte Carlo simulation,4.624542469124915e-4,max |deviation| / MC SE,2.459180709991998,4,TRUE,t from 0.05 to 6.00
2026-08-15,metric definitions,"type_S, closed form vs 4e+06-draw simulation",6,00_revision_functions.R closed form,Monte Carlo simulation,7.523510426650781e-4,max |deviation| / MC SE,1.5457919573913177,4,TRUE,t from 0.05 to 1.50
2026-08-15,metric definitions,"type_M, closed form vs 4e+06-draw simulation",11,00_revision_functions.R closed form,Monte Carlo simulation,0.023698980320631335,max |deviation| / MC SE,3.128314120705909,4,TRUE,t from 0.05 to 6.00
2026-08-15,metric definitions,Type M limit constant 2.3378/|t| as t -> 0,1,type_M_cf at t = 1e-6,analytic limit dnorm(c)/pnorm(-c),3.042011087472929e-13,max relative difference,1.3011813848606835e-13,1e-6,TRUE,constant = 2.3378
2026-08-15,primary-study level,unweighted_per_effect_size estimand,12,lme4::lmer,nlme::lme,4.151258892193255e-9,max relative difference,9.110046121113124e-10,1e-5,TRUE,
2026-08-15,primary-study level,equal_per_meta_analysis estimand,12,lme4::lmer,nlme::lme,1.2714385100309755e-8,max relative difference,2.857099739314893e-9,1e-5,TRUE,
2026-08-15,primary-study level,meta_analysis_random_effect estimand,12,lme4::lmer,nlme::lme,4.043669177278275e-8,max relative difference,3.6564460727104215e-7,1e-5,TRUE,
2026-08-15,primary-study level,canonical table equals the refitted values,36,primary_level_sensitivity.csv,refitted here,8.881784197001252e-16,max relative difference,1.7912752077897568e-16,1e-10,TRUE,
2026-08-15,meta-analysis level,"weighted geometric mean, both weightings",24,stats::lm(weights = k),hand-computed sum(w*log(x))/sum(w),8.881784197001252e-16,max relative difference,4.1653576776952417e-14,1e-12,TRUE,
2026-08-15,meta-analysis level,canonical table equals the recomputed values,24,meta_analysis_level_sensitivity.csv,recomputed here,2.220446049250313e-16,max relative difference,1.8783857593786664e-15,1e-12,TRUE,
