aggregation,weighting,cluster_unit,n_cluster,crit_value_method,B,seed,estimand,role,spec_a,spec_b,metric,point_a,point_b,diff_metric,diff_metric_ci_lower,diff_metric_ci_upper,diff_metric_bca_lower,diff_metric_bca_upper,diff_log,diff_log_ci_lower,diff_log_ci_upper,diff_log_bca_lower,diff_log_bca_upper,ratio_offset_scale,ratio_ci_lower,ratio_ci_upper,ratio_is_on_offset_scale,boot_prop_opposite_sign,excludes_zero_percentile,excludes_zero_bca,boot_bias_metric
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2023_gated_beta0_c3,power,0.8220737046105893,0.3903771039959558,0.43169660061463344,0.2247913281661433,0.5996220451997161,0.2676729837195385,0.6462983901935099,0.7447168507451423,0.34999735026440165,1.253593733341871,0.4174639219554642,1.4250597156047082,2.1058450820904335,1.419063788444439,3.502908885095198,FALSE,0,TRUE,TRUE,-0.013008560536397096
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2023_gated_beta0_c3,type_M,1.1085608464203047,2.1770696432395016,-1.0685087968191969,-3.955858237600164,-0.29340960376908004,-6.690938894401777,-0.3646906205662678,-0.6749171328650654,-1.505641663258074,-0.23598332676174968,-2.0337835912843008,-0.29157991752360385,0.5091986146895857,0.22187487918784907,0.7897938422439236,FALSE,0,TRUE,TRUE,-0.1974809444137704
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2023_gated_beta0_c3,type_S,5.830502574538134e-4,0.012225245985474711,-0.011642195728020898,-0.04327340223926981,-0.0018950182788831896,-0.06275053416502903,-0.002545411794698312,-0.3750571537373366,-0.9878789124426233,-0.07173580610948688,-1.2928712044643582,-0.098313952794924,0.6872499987625688,0.37236567417335265,0.9307767688664621,TRUE,0,TRUE,TRUE,-0.002001310682323884
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_FE_VCV,power,0.8220737046105893,0.47894781727745,0.34312588733313926,0.04475087213609301,0.6050762981111056,0.06717876553134346,0.7022906107720461,0.5402384055021425,0.057251959769875,1.1535178984577021,0.0869040833819576,1.4313174419274943,1.7164160164328917,1.0589225826763942,3.1693226768731604,FALSE,3e-4,TRUE,TRUE,-0.048641160335116285
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_FE_VCV,type_M,1.1085608464203047,1.5257428525710341,-0.4171820061507294,-0.9857047168788486,-0.03695406102963261,-1.2799922673005693,-0.06616179786024849,-0.3194187685573251,-0.6419717542617625,-0.033132745666475505,-0.7847349622834778,-0.05937932599893299,0.7265712204073348,0.526253757293054,0.9674101315624192,FALSE,9.5e-4,TRUE,TRUE,0.013165506321447362
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_FE_VCV,type_S,5.830502574538134e-4,0.00562135507422316,-0.005038304816769347,-0.011063739661448082,-1.0026245613777462e-4,-0.013484588680654205,-4.7893570181895803e-4,-0.17976761091438354,-0.35826657378716037,-0.0038608796019638084,-0.42613442362165993,-0.01910739632301653,0.835464341647945,0.6988867452858324,0.9961465640109741,TRUE,0.01715,TRUE,TRUE,1.9621324811921938e-4
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_UWLS,power,0.8220737046105893,0.3826850291624546,0.43938867544813465,0.020222589654827147,0.7111355920341809,0.06657290662491401,0.8052487383282148,0.7646177833366024,0.024343174915602877,1.6375852253896297,0.07863682142422211,2.033199636376855,2.1481731501485224,1.0246418889557514,5.142735957941805,FALSE,0.00645,TRUE,TRUE,-0.07187532323584478
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_UWLS,type_M,1.1085608464203047,2.0112554553950264,-0.9026946089747216,-2.707755895337747,-0.013935993505204343,-3.7560988329012144,-0.0520473190247947,-0.595696492421442,-1.247380836265602,-0.012510587067513153,-1.533551915388348,-0.04866719918535631,0.551178540471665,0.28725618340650994,0.9875673449963798,FALSE,0.01,TRUE,TRUE,-0.019337273061859617
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,uncorrected_beta0,yang2024_UWLS,type_S,5.830502574538134e-4,0.02303523337151369,-0.022452183114059877,-0.06966184332485768,-5.105930955361636e-4,-0.09932786268634153,-0.0015711569403026684,-0.6300047373311228,-1.3195255455575488,-0.019585104988271852,-1.6169784052342142,-0.06337790688642318,0.5325892779491588,0.26726207556837495,0.9806054372231378,TRUE,0.00615,TRUE,TRUE,-7.761052469424552e-4
meta_analysis_level,k_effect_sizes,source_paper,28,z_1.96,20000,20260815,finite_corpus_descriptive_summary_of_48_models,supplementary_diagnostic,yang2023_gated_beta0_c3,yang2024_FE_VCV,power,0.3903771039959558,0.47894781727745,-0.08857071328149418,-0.46090374883081126,0.14854742385855405,-0.3913542034902407,0.20161139733674768,-0.20447844524299974,-1.0388121454332617,0.4055928543979889,-0.8564085641706325,0.5607362746150698,0.8150723104137544,0.35387478417765256,1.500191631674594,FALSE,0.27945,FALSE,FALSE,-0.035632599798719175
