MA_model,effect_size_type,k,n_study_cluster,effect_estimator,estimator_label,se_source,se_method,role,crit_value_method,assumed_effect,standard_error,power,type_M,type_S
MA09.csv,lnRR,1297,126,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.21944703048501393,0.03842099506762128,0.9999121730776179,1.0000613504845264,8.49344235505365e-15
MA20_cleaned.csv,lnRR,29,8,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.15618598357445485,0.11813302494430482,0.26230269597456435,1.9399634048177143,0.00196420147823431
MA22_01.csv,lnRR,92,30,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.05465569682344966,0.03890615105670374,0.28977723593975846,1.840814936167618,0.001321821624398462
MA22_02.csv,lnRR,92,30,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.03452585079677678,0.02810151050298772,0.2329969458894059,2.069093426657648,0.0030681832905753233
MA22_03.csv,lnRR,92,30,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.04580320918496699,0.03729791384346997,0.23282279429855401,2.069951439481248,0.0030765924188361593
MA01_01.csv,SMD,22,20,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-1.4714367914931457,0.15846194405574549,0.9999999999998812,1.0000000000000955,1.2157121939156583e-29
MA01_02.csv,SMD,14,13,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-1.3847886157232574,0.17169224753427653,0.9999999994878084,1.0000000003976324,5.88858436249458e-24
MA01_03.csv,SMD,16,11,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,1.6984009801615376,0.21964781161101243,0.9999999960929222,1.0000000029996639,1.6248694807554155e-22
MA05_01.csv,SMD,17,9,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.28420900014765826,0.3159402157937035,0.14660308280344003,2.7458817954959907,0.014470010488862612
MA05_02.csv,SMD,16,10,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-1.043924298168363,0.4274793872119504,0.685131495575072,1.2122828151379135,7.82715834311169e-6
MA05_03.csv,SMD,4,4,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,1.5418440896305954,0.6747686060824811,0.6274328047141381,1.2639459862296092,1.742271644273846e-5
MA06_01.csv,SMD,33,9,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.4768783513958681,0.3274709092381255,0.3075474406463645,1.7851707245176833,0.0010323473130721893
MA06_02.csv,SMD,13,6,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.8227067818908614,0.2609280870176003,0.8835729172885957,1.0702859912770393,1.794641993221186e-7
MA08.csv,SMD,531,176,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.3359196369889882,0.04402159734662558,0.9999999928945349,1.0000000054357232,4.372112290937646e-22
MA10.csv,SMD,32,32,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.4815620224791642,0.17093178929323732,0.8043646453777448,1.1219065558771824,1.1047082695318147e-6
MA12.csv,SMD,70,16,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.44106767832673593,0.11559108233824684,0.9682585919331121,1.0192969336761295,3.956767601646913e-9
MA13_01.csv,SMD,43,24,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-1.384663257257386,0.47510100393490606,0.8300844381689001,1.104566791555763,6.573183466768308e-7
MA13_02.csv,SMD,37,20,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.379111087425584,0.2538934343668182,0.32060776159319526,1.7477419340778297,8.640979599358836e-4
MA13_03.csv,SMD,14,9,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,1.0976514123708023,0.313139329336432,0.9388691098542964,1.036728895322657,2.4613873802517575e-8
MA15_01.csv,SMD,5,3,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.5790574364484041,0.3385515056999909,0.40158217139414853,1.563093947622144,3.0156753357032777e-4
MA15_02.csv,SMD,9,4,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-1.1925594205990069,0.1499454447888904,0.9999999989720316,1.0000000007951464,1.822897115890754e-23
MA15_03.csv,SMD,11,5,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.9161862177754302,0.17390106443802117,0.9995309632492754,1.000318086178302,2.444776888451191e-13
MA15_04.csv,SMD,11,5,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.12124755262038936,0.6552343227724959,0.0539316785204883,12.68702581399305,0.2962281539428636
MA21.csv,SMD,11,6,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.2275942098163718,0.29999162847927996,0.11809592736322583,3.219068680120767,0.02775387443861699
MA23.csv,SMD,24,22,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.941060831414486,0.3036103430977167,0.8727745045188484,1.0770367657442128,2.4077657047130376e-7
MA24.csv,SMD,139,54,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.40570264732023553,0.07514051802349016,0.9997083776082772,1.0001995868698574,9.252322612524187e-14
MA25.csv,SMD,43,22,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.6633060148621823,0.1414042911143753,0.9968417637267913,1.002049310284818,1.4620210858064104e-11
MA26.csv,SMD,459,71,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.22589965288436856,0.05823647930865843,0.972510494492414,1.0167726739722829,2.700460790217253e-9
MA28_01.csv,SMD,84,42,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.7030139163060111,0.08151513644934394,0.99999999998671,1.0000000000104916,1.762026981391865e-26
MA28_02.csv,SMD,84,41,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.7054960206833235,0.08369249085694046,0.9999999999508873,1.0000000000385554,1.3827618123958532e-25
