specification,weighting,metric,dropped_paper,n_models_dropped,n_effect_sizes_dropped,pct_of_effect_sizes,summary_all_28_papers,summary_without,change_pct,influence_rank
Uncorrected pooled mean,By effect-size count,Statistical power,MA22,3,276,4.8,0.8221,0.8729,+6.2,1
Uncorrected pooled mean,By effect-size count,Statistical power,MA09,1,1297,22.6,0.8221,0.7764,-5.6,2
Uncorrected pooled mean,By effect-size count,Statistical power,MA31,1,734,12.8,0.8221,0.7988,-2.8,3
Uncorrected pooled mean,By effect-size count,Statistical power,MA41,4,527,9.2,0.8221,0.8438,+2.6,4
Uncorrected pooled mean,By effect-size count,Statistical power,MA34,1,555,9.7,0.8221,0.8050,-2.1,5
Uncorrected pooled mean,By effect-size count,Statistical power,MA08,1,531,9.3,0.8221,0.8058,-2.0,6
Uncorrected pooled mean,By effect-size count,Statistical power,MA39,2,52,0.9,0.8221,0.8365,+1.8,7
Uncorrected pooled mean,By effect-size count,Statistical power,MA26,1,459,8.0,0.8221,0.8102,-1.5,8
Uncorrected pooled mean,By effect-size count,Statistical power,MA14,2,271,4.7,0.8221,0.8143,-0.9,9
Uncorrected pooled mean,By effect-size count,Statistical power,MA17,1,66,1.1,0.8221,0.8296,+0.9,10
Uncorrected pooled mean,By effect-size count,Statistical power,MA28,2,168,2.9,0.8221,0.8172,-0.6,11
Uncorrected pooled mean,By effect-size count,Statistical power,MA05,3,37,0.6,0.8221,0.8269,+0.6,12
Uncorrected pooled mean,By effect-size count,Statistical power,MA20,1,29,0.5,0.8221,0.8269,+0.6,13
Uncorrected pooled mean,By effect-size count,Statistical power,MA13,3,94,1.6,0.8221,0.8268,+0.6,14
Uncorrected pooled mean,By effect-size count,Statistical power,MA06,2,46,0.8,0.8221,0.8266,+0.6,15
Uncorrected pooled mean,By effect-size count,Statistical power,MA15,4,36,0.6,0.8221,0.8264,+0.5,16
Uncorrected pooled mean,By effect-size count,Statistical power,MA47,2,103,1.8,0.8221,0.8261,+0.5,17
Uncorrected pooled mean,By effect-size count,Statistical power,MA24,1,139,2.4,0.8221,0.8181,-0.5,18
Uncorrected pooled mean,By effect-size count,Statistical power,MA21,1,11,0.2,0.8221,0.8251,+0.4,19
Uncorrected pooled mean,By effect-size count,Statistical power,MA43,1,13,0.2,0.8221,0.8251,+0.4,20
Uncorrected pooled mean,By effect-size count,Statistical power,MA12,1,70,1.2,0.8221,0.8204,-0.2,21
Uncorrected pooled mean,By effect-size count,Statistical power,MA01,3,52,0.9,0.8221,0.8206,-0.2,22
Uncorrected pooled mean,By effect-size count,Statistical power,MA25,1,43,0.7,0.8221,0.8209,-0.1,23
Uncorrected pooled mean,By effect-size count,Statistical power,MA45,2,39,0.7,0.8221,0.8210,-0.1,24
Uncorrected pooled mean,By effect-size count,Statistical power,MA18,1,23,0.4,0.8221,0.8214,-0.1,25
Uncorrected pooled mean,By effect-size count,Statistical power,MA32,1,13,0.2,0.8221,0.8217,-0.0,26
Uncorrected pooled mean,By effect-size count,Statistical power,MA23,1,24,0.4,0.8221,0.8219,-0.0,27
Uncorrected pooled mean,By effect-size count,Statistical power,MA10,1,32,0.6,0.8221,0.8222,+0.0,28
Uncorrected pooled mean,By effect-size count,Type M error,MA09,1,1297,22.6,1.1086,1.1424,+3.1,1
Uncorrected pooled mean,By effect-size count,Type M error,MA22,3,276,4.8,1.1086,1.0763,-2.9,2
Uncorrected pooled mean,By effect-size count,Type M error,MA31,1,734,12.8,1.1086,1.1254,+1.5,3
Uncorrected pooled mean,By effect-size count,Type M error,MA41,4,527,9.2,1.1086,1.0948,-1.2,4
Uncorrected pooled mean,By effect-size count,Type M error,MA39,2,52,0.9,1.1086,1.0960,-1.1,5
Uncorrected pooled mean,By effect-size count,Type M error,MA34,1,555,9.7,1.1086,1.1209,+1.1,6
Uncorrected pooled mean,By effect-size count,Type M error,MA08,1,531,9.3,1.1086,1.1203,+1.1,7
Uncorrected pooled mean,By effect-size count,Type M error,MA26,1,459,8.0,1.1086,1.1169,+0.8,8
Uncorrected pooled mean,By effect-size count,Type M error,MA14,2,271,4.7,1.1086,1.1141,+0.5,9
Uncorrected pooled mean,By effect-size count,Type M error,MA15,4,36,0.6,1.1086,1.1034,-0.5,10
Uncorrected pooled mean,By effect-size count,Type M error,MA17,1,66,1.1,1.1086,1.1037,-0.4,11
Uncorrected pooled mean,By effect-size count,Type M error,MA28,2,168,2.9,1.1086,1.1120,+0.3,12
Uncorrected pooled mean,By effect-size count,Type M error,MA05,3,37,0.6,1.1086,1.1052,-0.3,13
Uncorrected pooled mean,By effect-size count,Type M error,MA20,1,29,0.5,1.1086,1.1054,-0.3,14
Uncorrected pooled mean,By effect-size count,Type M error,MA13,3,94,1.6,1.1086,1.1055,-0.3,15
