"Table S2. Statistical power, Type M error and Type S error under each assumed underlying effect. Part A gives the results reported in the main text at the primary-study level (5,740 effect-size estimates) and at the meta-analysis level (48 models).

At the primary-study level, the main summary is fitted with a study-cluster random intercept. Because that model gives observations in large clusters less individual weight, it describes the experience of a typical study cluster rather than of a typical effect-size observation. Two alternative summaries are also reported: one giving each of the 48 meta-analytic models equal influence while retaining the study-cluster random-intercept structure, and one treating meta-analysis identity as a random effect. These alternatives describe the experience of a typical meta-analytic model.
Part B gives sensitivity analyses at the primary-study level. These include an optimistic assumed effect, defined as the limit of the 95% confidence interval of the uncorrected pooled mean lying farther from zero, and externally specified assumed effect magnitudes. Part C gives the corresponding meta-analysis-level analyses under the externally specified effect magnitudes.
 For the external scenarios, standardised mean differences were evaluated at d = 0.2, 0.5, and 0.8, correlations at r = 0.1, 0.3, and 0.5 after transformation to Fisher's z scale, and log response ratios at magnitudes corresponding to 10%, 25%, and 50% changes. The three sets are reported separately because they are metric-specific and not directly equivalent. The log response ratio values are reference scenarios, not conventional small, medium, and large benchmarks.
Model-based summary estimates were obtained on the log scale and back-transformed for reporting.
For the alternative primary-study summary giving each meta-analysis equal influence, the 48 model-specific fixed-effect estimates were averaged with equal weight on the log scale before back-transformation; uncertainty was obtained from the corresponding linear combination of their variance-covariance matrix. Raw medians and interquartile ranges are reported alongside the model-based summaries. Type S error was modelled after adding an offset of 0.025 because it can be exactly zero.
Where observed Type S values were small relative to this offset, the model-based summary was sensitive to the offset; these rows are flagged, and the raw median and interquartile range should be treated as the main descriptive summary, with the model-based estimate retained for comparability.
Model-based confidence intervals are back-transformed from the log scale and do not automatically respect the natural bounds of the metrics. Confidence limits falling outside the allowable range were constrained to the relevant bound and are marked with an asterisk, as in the original supplement. Statistical power lies between 0 and 1, Type S error between 0 and 0.5, and Type M error is at least 1. No point estimate required constraining.
All power, Type M error, and Type S error calculations use a common normal-theory two-sided threshold of α = 0.05.",,,,,,,,,,
,,,,,,,,,,
part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
A. Reported results,Primary-study level,Uncorrected pooled mean,Study cluster as a random effect,Statistical power,5740,0.1735,"[0.1664, 0.1810]",0,"0.1358 [0.0919, 0.2614]",
