"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Uncorrected pooled mean,By effect-size count,Statistical power,MA09,1297,22.6,0.8221,0.7764,-5.6,1
Uncorrected pooled mean,By effect-size count,Statistical power,MA31,734,12.8,0.8221,0.7988,-2.8,2
Uncorrected pooled mean,By effect-size count,Statistical power,MA41_02,184,3.2,0.8221,0.8429,2.5,3
Uncorrected pooled mean,By effect-size count,Statistical power,MA22_03,92,1.6,0.8221,0.8391,2.1,4
Uncorrected pooled mean,By effect-size count,Statistical power,MA34,555,9.7,0.8221,0.805,-2.1,5
Uncorrected pooled mean,By effect-size count,Statistical power,MA22_02,92,1.6,0.8221,0.8391,2.1,6
Uncorrected pooled mean,By effect-size count,Statistical power,MA08,531,9.3,0.8221,0.8058,-2,7
Uncorrected pooled mean,By effect-size count,Statistical power,MA22_01,92,1.6,0.8221,0.8362,1.7,8
Uncorrected pooled mean,By effect-size count,Statistical power,MA26,459,8,0.8221,0.8102,-1.5,9
Uncorrected pooled mean,By effect-size count,Statistical power,MA39_1,37,0.6,0.8221,0.8305,1,10
Uncorrected pooled mean,By effect-size count,Statistical power,MA17,66,1.1,0.8221,0.8296,0.9,11
Uncorrected pooled mean,By effect-size count,Statistical power,MA39_2,15,0.3,0.8221,0.8279,0.7,12
Uncorrected pooled mean,By effect-size count,Statistical power,MA47_1,65,1.1,0.8221,0.8271,0.6,13
Uncorrected pooled mean,By effect-size count,Statistical power,MA13_02,37,0.6,0.8221,0.8271,0.6,14
Uncorrected pooled mean,By effect-size count,Statistical power,MA14_02,167,2.9,0.8221,0.8173,-0.6,15
Uncorrected pooled mean,By effect-size count,Statistical power,MA20_cleaned,29,0.5,0.8221,0.8269,0.6,16
Uncorrected pooled mean,By effect-size count,Statistical power,MA06_01,33,0.6,0.8221,0.8268,0.6,17
Uncorrected pooled mean,By effect-size count,Statistical power,MA15_04,11,0.2,0.8221,0.8264,0.5,18
Uncorrected pooled mean,By effect-size count,Statistical power,MA05_01,17,0.3,0.8221,0.8263,0.5,19
Uncorrected pooled mean,By effect-size count,Statistical power,MA24,139,2.4,0.8221,0.8181,-0.5,20
Uncorrected pooled mean,By effect-size count,Statistical power,MA21,11,0.2,0.8221,0.8251,0.4,21
Uncorrected pooled mean,By effect-size count,Statistical power,MA43,13,0.2,0.8221,0.8251,0.4,22
Uncorrected pooled mean,By effect-size count,Statistical power,MA41_03,129,2.2,0.8221,0.825,0.4,23
Uncorrected pooled mean,By effect-size count,Statistical power,MA14_01,104,1.8,0.8221,0.8193,-0.3,24
Uncorrected pooled mean,By effect-size count,Statistical power,MA28_01,84,1.5,0.8221,0.8197,-0.3,25
Uncorrected pooled mean,By effect-size count,Statistical power,MA28_02,84,1.5,0.8221,0.8197,-0.3,26
Uncorrected pooled mean,By effect-size count,Statistical power,MA41_04,104,1.8,0.8221,0.8204,-0.2,27
Uncorrected pooled mean,By effect-size count,Statistical power,MA12,70,1.2,0.8221,0.8204,-0.2,28
Uncorrected pooled mean,By effect-size count,Statistical power,MA41_01,110,1.9,0.8221,0.8205,-0.2,29
Uncorrected pooled mean,By effect-size count,Statistical power,MA25,43,0.7,0.8221,0.8209,-0.1,30
Uncorrected pooled mean,By effect-size count,Statistical power,MA47_2,38,0.7,0.8221,0.8211,-0.1,31
Uncorrected pooled mean,By effect-size count,Statistical power,MA45_01,28,0.5,0.8221,0.8213,-0.1,32
Uncorrected pooled mean,By effect-size count,Statistical power,MA18,23,0.4,0.8221,0.8214,-0.1,33
Uncorrected pooled mean,By effect-size count,Statistical power,MA01_01,22,0.4,0.8221,0.8215,-0.1,34
Uncorrected pooled mean,By effect-size count,Statistical power,MA15_01,5,0.1,0.8221,0.8226,0.1,35
Uncorrected pooled mean,By effect-size count,Statistical power,MA01_03,16,0.3,0.8221,0.8216,-0.1,36
Uncorrected pooled mean,By effect-size count,Statistical power,MA05_02,16,0.3,0.8221,0.8225,0.1,37
Uncorrected pooled mean,By effect-size count,Statistical power,MA01_02,14,0.2,0.8221,0.8217,0,38
Uncorrected pooled mean,By effect-size count,Statistical power,MA32,13,0.2,0.8221,0.8217,0,39
Uncorrected pooled mean,By effect-size count,Statistical power,MA45_02,11,0.2,0.8221,0.8218,0,40
Uncorrected pooled mean,By effect-size count,Statistical power,MA15_03,11,0.2,0.8221,0.8218,0,41
Uncorrected pooled mean,By effect-size count,Statistical power,MA13_03,14,0.2,0.8221,0.8218,0,42
Uncorrected pooled mean,By effect-size count,Statistical power,MA15_02,9,0.2,0.8221,0.8218,0,43
Uncorrected pooled mean,By effect-size count,Statistical power,MA23,24,0.4,0.8221,0.8219,0,44
Uncorrected pooled mean,By effect-size count,Statistical power,MA05_03,4,0.1,0.8221,0.8222,0,45
Uncorrected pooled mean,By effect-size count,Statistical power,MA06_02,13,0.2,0.8221,0.8219,0,46
Uncorrected pooled mean,By effect-size count,Statistical power,MA10,32,0.6,0.8221,0.8222,0,47
Uncorrected pooled mean,By effect-size count,Statistical power,MA13_01,43,0.7,0.8221,0.822,0,48
Uncorrected pooled mean,By effect-size count,Type M error,MA09,1297,22.6,1.1086,1.1424,3.1,1
Uncorrected pooled mean,By effect-size count,Type M error,MA31,734,12.8,1.1086,1.1254,1.5,2
Uncorrected pooled mean,By effect-size count,Type M error,MA41_02,184,3.2,1.1086,1.0954,-1.2,3
Uncorrected pooled mean,By effect-size count,Type M error,MA34,555,9.7,1.1086,1.1209,1.1,4
Uncorrected pooled mean,By effect-size count,Type M error,MA08,531,9.3,1.1086,1.1203,1.1,5
Uncorrected pooled mean,By effect-size count,Type M error,MA22_03,92,1.6,1.1086,1.0973,-1,6
Uncorrected pooled mean,By effect-size count,Type M error,MA22_02,92,1.6,1.1086,1.0973,-1,7
Uncorrected pooled mean,By effect-size count,Type M error,MA22_01,92,1.6,1.1086,1.0994,-0.8,8
Uncorrected pooled mean,By effect-size count,Type M error,MA26,459,8,1.1086,1.1169,0.8,9
Uncorrected pooled mean,By effect-size count,Type M error,MA39_2,15,0.3,1.1086,1.1018,-0.6,10
Uncorrected pooled mean,By effect-size count,Type M error,MA39_1,37,0.6,1.1086,1.1027,-0.5,11
Uncorrected pooled mean,By effect-size count,Type M error,MA15_04,11,0.2,1.1086,1.1034,-0.5,12
Uncorrected pooled mean,By effect-size count,Type M error,MA17,66,1.1,1.1086,1.1037,-0.4,13
Uncorrected pooled mean,By effect-size count,Type M error,MA14_02,167,2.9,1.1086,1.112,0.3,14
Uncorrected pooled mean,By effect-size count,Type M error,MA13_02,37,0.6,1.1086,1.1053,-0.3,15
Uncorrected pooled mean,By effect-size count,Type M error,MA47_1,65,1.1,1.1086,1.1053,-0.3,16
Uncorrected pooled mean,By effect-size count,Type M error,MA20_cleaned,29,0.5,1.1086,1.1054,-0.3,17
Uncorrected pooled mean,By effect-size count,Type M error,MA06_01,33,0.6,1.1086,1.1055,-0.3,18
Uncorrected pooled mean,By effect-size count,Type M error,MA05_01,17,0.3,1.1086,1.1056,-0.3,19
Uncorrected pooled mean,By effect-size count,Type M error,MA24,139,2.4,1.1086,1.1114,0.3,20
Uncorrected pooled mean,By effect-size count,Type M error,MA21,11,0.2,1.1086,1.1063,-0.2,21
Uncorrected pooled mean,By effect-size count,Type M error,MA43,13,0.2,1.1086,1.1065,-0.2,22
Uncorrected pooled mean,By effect-size count,Type M error,MA14_01,104,1.8,1.1086,1.1105,0.2,23
Uncorrected pooled mean,By effect-size count,Type M error,MA41_03,129,2.2,1.1086,1.1066,-0.2,24
Uncorrected pooled mean,By effect-size count,Type M error,MA28_01,84,1.5,1.1086,1.1103,0.2,25
Uncorrected pooled mean,By effect-size count,Type M error,MA28_02,84,1.5,1.1086,1.1103,0.2,26
Uncorrected pooled mean,By effect-size count,Type M error,MA12,70,1.2,1.1086,1.1097,0.1,27
Uncorrected pooled mean,By effect-size count,Type M error,MA41_04,104,1.8,1.1086,1.1097,0.1,28
Uncorrected pooled mean,By effect-size count,Type M error,MA41_01,110,1.9,1.1086,1.1096,0.1,29
Uncorrected pooled mean,By effect-size count,Type M error,MA25,43,0.7,1.1086,1.1094,0.1,30
Uncorrected pooled mean,By effect-size count,Type M error,MA47_2,38,0.7,1.1086,1.1093,0.1,31
Uncorrected pooled mean,By effect-size count,Type M error,MA45_01,28,0.5,1.1086,1.1091,0.1,32
Uncorrected pooled mean,By effect-size count,Type M error,MA18,23,0.4,1.1086,1.109,0,33
Uncorrected pooled mean,By effect-size count,Type M error,MA01_01,22,0.4,1.1086,1.109,0,34
Uncorrected pooled mean,By effect-size count,Type M error,MA15_01,5,0.1,1.1086,1.1082,0,35
Uncorrected pooled mean,By effect-size count,Type M error,MA01_03,16,0.3,1.1086,1.1089,0,36
Uncorrected pooled mean,By effect-size count,Type M error,MA01_02,14,0.2,1.1086,1.1088,0,37
Uncorrected pooled mean,By effect-size count,Type M error,MA05_02,16,0.3,1.1086,1.1083,0,38
Uncorrected pooled mean,By effect-size count,Type M error,MA32,13,0.2,1.1086,1.1088,0,39
Uncorrected pooled mean,By effect-size count,Type M error,MA45_02,11,0.2,1.1086,1.1088,0,40
Uncorrected pooled mean,By effect-size count,Type M error,MA15_03,11,0.2,1.1086,1.1088,0,41
Uncorrected pooled mean,By effect-size count,Type M error,MA13_03,14,0.2,1.1086,1.1087,0,42
Uncorrected pooled mean,By effect-size count,Type M error,MA15_02,9,0.2,1.1086,1.1087,0,43
Uncorrected pooled mean,By effect-size count,Type M error,MA23,24,0.4,1.1086,1.1087,0,44
Uncorrected pooled mean,By effect-size count,Type M error,MA05_03,4,0.1,1.1086,1.1085,0,45
Uncorrected pooled mean,By effect-size count,Type M error,MA06_02,13,0.2,1.1086,1.1086,0,46
Uncorrected pooled mean,By effect-size count,Type M error,MA10,32,0.6,1.1086,1.1085,0,47
