obs_ID,study_ID,year,es,var,study_ID_org,meta_ID
obs_001,Kverková et al_2018,2018,-0.753844322,0.024390244,study43,ma41_02
obs_002,Kverková et al_2018,2018,-0.75515363,0.024390244,study43,ma41_02
obs_003,Kverková et al_2018,2018,-0.746352628,0.024390244,study43,ma41_02
obs_004,Kverková et al_2018,2018,-0.750373227,0.024390244,study43,ma41_02
obs_005,Kverková et al_2018,2018,-0.713145859,0.024390244,study43,ma41_02
obs_006,Kverková et al_2018,2018,-0.790544967,0.024390244,study43,ma41_02
obs_007,Kverková et al_2018,2018,-0.850674956,0.024390244,study43,ma41_02
obs_008,Kverková et al_2018,2018,-0.661410315,0.024390244,study43,ma41_02
obs_009,Kverková et al_2018,2018,-0.730910337,0.024390244,study43,ma41_02
obs_010,Kverková et al_2018,2018,-0.827774559,0.024390244,study43,ma41_02
obs_011,Kverková et al_2018,2018,-0.767232068,0.024390244,study43,ma41_02
obs_012,Kverková et al_2018,2018,-0.674969046,0.024390244,study43,ma41_02
obs_013,Kverková et al_2018,2018,-0.662632552,0.024390244,study43,ma41_02
obs_014,Kverková et al_2018,2018,-0.643384676,0.024390244,study43,ma41_02
obs_015,Kverková et al_2018,2018,-0.572722574,0.024390244,study43,ma41_02
obs_016,Kverková et al_2018,2018,-0.684082655,0.033333333,study43,ma41_02
obs_017,Kverková et al_2018,2018,-0.596957715,0.033333333,study43,ma41_02
obs_018,Kverková et al_2018,2018,-0.975371484,0.033333333,study43,ma41_02
obs_019,Kverková et al_2018,2018,-0.890114586,0.033333333,study43,ma41_02
obs_020,Kverková et al_2018,2018,-0.614072807,0.033333333,study43,ma41_02
obs_021,Kverková et al_2018,2018,-0.831878554,0.033333333,study43,ma41_02
obs_022,Reddy et al_2015,2015,0.122691948,0.020408163,study73,ma41_02
obs_023,Sandel et al_2011,2011,0.615286258,0.027027027,study80,ma41_02
obs_024,Sandel et al_2011,2011,-0.037840968,0.02173913,study80,ma41_02
obs_025,Bond et al_2003,2003,0.915057606,0.142857143,study98,ma41_02
obs_026,Bond et al_2003,2003,1.376872108,0.142857143,study98,ma41_02
obs_027,Bond et al_2007,2007,0.919563507,0.142857143,study100,ma41_02
obs_028,Devaine et al_2017,2017,0.07185764,0.03125,study21,ma41_02
obs_029,Kamhi et al_2016,2016,1.014287661,0.015873016,study35,ma41_02
obs_030,MacLean et al_2008,2008,0.140954145,0.333333333,study56,ma41_02
obs_031,MacLean et al_2008,2008,1.950984293,0.333333333,study56,ma41_02
obs_032,MacLean et al_2008,2008,0.140954145,0.333333333,study56,ma41_02
obs_033,MacLean et al_2008,2008,0.186008391,0.333333333,study56,ma41_02
obs_034,Amici et al_2008,2008,0.137800648,0.012048193,study02,ma41_02
obs_035,Amici et al_2008,2008,-0.039661279,0.012048193,study02,ma41_02
obs_036,Amici et al_2008,2008,0.175535261,0.012048193,study02,ma41_02
obs_037,Amici et al_2008,2008,-0.005770316,0.012048193,study02,ma41_02
obs_038,Amici et al_2008,2008,0.429542902,0.012048193,study02,ma41_02
obs_039,Arsznov & Sakai_2013,2013,0.947160995,0.035714286,study04,ma41_02
obs_040,Arsznov & Sakai_2013,2013,1.367194482,0.035714286,study04,ma41_02
obs_041,Arsznov & Sakai_2013,2013,0.543390382,0.035714286,study04,ma41_02
obs_042,Arsznov & Sakai_2013,2013,0.441754213,0.035714286,study04,ma41_02
obs_043,Arsznov & Sakai_2013,2013,1.556192374,0.035714286,study04,ma41_02
obs_044,Arsznov & Sakai_2013,2013,-0.032534388,0.035714286,study04,ma41_02
obs_045,Arsznov & Sakai_2013,2013,1.085274846,0.035714286,study04,ma41_02
obs_046,Arsznov & Sakai_2013,2013,0.532785932,0.035714286,study04,ma41_02
obs_047,Arsznov & Sakai_2013,2013,-0.0947022,0.035714286,study05,ma41_02
obs_048,Arsznov & Sakai_2013,2013,1.273355721,0.035714286,study05,ma41_02
obs_049,Arsznov & Sakai_2013,2013,-0.783867362,0.035714286,study05,ma41_02
obs_050,Arsznov & Sakai_2013,2013,0.047845554,0.035714286,study05,ma41_02
obs_051,Arsznov & Sakai_2013,2013,1.190772324,0.035714286,study05,ma41_02
obs_052,Arsznov & Sakai_2013,2013,-0.818257592,0.035714286,study05,ma41_02
obs_053,Arsznov & Sakai_2013,2013,1.257318932,0.035714286,study05,ma41_02
obs_054,Arsznov & Sakai_2013,2013,-0.486075691,0.035714286,study05,ma41_02
obs_055,Bond et al_2007,2007,0.207343331,0.142857143,study100,ma41_02
obs_056,Bond et al_2007,2007,0.239727913,0.142857143,study100,ma41_02
obs_057,Costanzo et al_2009,2009,0.768198027,0.018518519,study17,ma41_02
obs_058,Costanzo et al_2009,2009,-0.289753308,0.018518519,study17,ma41_02
obs_059,Costanzo et al_2009,2009,0.775317339,0.018518519,study17,ma41_02
obs_060,Costanzo et al_2009,2009,0.544001994,0.018518519,study17,ma41_02
obs_061,Fichtel et al_2020,2020,-0.04167692,0.027027027,study28,ma41_02
obs_062,Fichtel et al_2020,2020,0.313256106,0.027027027,study28,ma41_02
obs_063,Fichtel et al_2020,2020,0.215448529,0.027777778,study28,ma41_02
obs_064,Fichtel et al_2020,2020,-0.080193056,0.027027027,study28,ma41_02
obs_065,Fichtel et al_2020,2020,0.081726489,0.027027027,study28,ma41_02
obs_066,Fichtel et al_2020,2020,0.317598217,0.027777778,study28,ma41_02
obs_067,Fichtel et al_2020,2020,0.177322733,0.027027027,study28,ma41_02
obs_068,Fichtel et al_2020,2020,0.161895873,0.027027027,study28,ma41_02
obs_069,Fichtel et al_2020,2020,0.24540147,0.027027027,study28,ma41_02
obs_070,Fichtel et al_2020,2020,0.003860318,0.027027027,study28,ma41_02
obs_071,Fichtel et al_2020,2020,-0.050430775,0.027027027,study28,ma41_02
obs_072,Fichtel et al_2020,2020,0.259090411,0.027777778,study28,ma41_02
obs_073,Fichtel et al_2020,2020,-0.098632639,0.027027027,study28,ma41_02
obs_074,Fichtel et al_2020,2020,-0.152299198,0.027027027,study28,ma41_02
obs_075,Fichtel et al_2020,2020,-0.301830703,0.025641026,study28,ma41_02
obs_076,Fichtel et al_2020,2020,-0.127620868,0.027777778,study28,ma41_02
obs_077,Fichtel et al_2020,2020,-0.339481341,0.028571429,study28,ma41_02
obs_078,Fichtel et al_2020,2020,0.04080916,0.027777778,study28,ma41_02
obs_079,Fichtel et al_2020,2020,-0.234552924,0.03030303,study28,ma41_02
obs_080,Fichtel et al_2020,2020,-0.061974939,0.03125,study28,ma41_02
obs_081,Fichtel et al_2020,2020,0.339168991,0.025641026,study28,ma41_02
obs_082,Fichtel et al_2020,2020,0.097972333,0.025641026,study28,ma41_02
obs_083,Fichtel et al_2020,2020,0.171037061,0.025641026,study28,ma41_02
obs_084,Fichtel et al_2020,2020,0.202527881,0.027027027,study28,ma41_02
obs_085,Fichtel et al_2020,2020,-0.451768323,0.025641026,study28,ma41_02
obs_086,Fichtel et al_2020,2020,-0.082292744,0.027027027,study28,ma41_02
obs_087,Fichtel et al_2020,2020,0.313246652,0.025641026,study28,ma41_02
obs_088,Fichtel et al_2020,2020,0.431382104,0.025641026,study28,ma41_02
obs_089,Fichtel et al_2020,2020,-0.307152633,0.04,study28,ma41_02
obs_090,Fichtel et al_2020,2020,0.258434746,0.045454545,study28,ma41_02
obs_091,Fichtel et al_2020,2020,-0.125424495,0.045454545,study28,ma41_02
obs_092,Fichtel et al_2020,2020,-0.039856335,0.045454545,study28,ma41_02
obs_093,Fichtel et al_2020,2020,-0.221159632,0.052631579,study28,ma41_02
obs_094,Fichtel et al_2020,2020,0.268287967,0.052631579,study28,ma41_02
obs_095,Fichtel et al_2020,2020,0.427367737,0.04,study28,ma41_02
obs_096,Fichtel et al_2020,2020,0.23122592,0.04,study28,ma41_02
obs_097,Fichtel et al_2020,2020,0.371662183,0.04,study28,ma41_02
obs_098,Fichtel et al_2020,2020,0.258712613,0.043478261,study28,ma41_02
obs_099,Fichtel et al_2020,2020,-0.518916928,0.04,study28,ma41_02
obs_100,Fichtel et al_2020,2020,0.190259499,0.041666667,study28,ma41_02
